time	present_current	goal_current	position_shift
1715776966.164691	6.72	3.0	0.0
1715776966.21278	3.36	3.0	0.0
1715776966.260808	16.8	3.0	0.0
1715776966.308588	6.72	3.0	0.0
1715776966.3566568	13.44	3.0	0.0
1715776966.404664	10.08	3.0	0.0
1715776966.453147	6.72	3.0	0.0
1715776966.500758	6.72	3.0	0.0
1715776966.5487201	13.44	3.0	0.0
1715776966.5967228	6.72	3.0	0.0
1715776966.6446111	0.0	3.0	0.0
1715776966.6927161	6.72	3.0	0.0
1715776966.740631	13.44	3.0	0.0
1715776966.788644	10.08	3.0	0.0
1715776966.8366039	6.72	3.0	0.0879120879120876
1715776966.8847392	10.08	4.0	0.0879120879120876
1715776966.932699	10.08	4.0	0.0879120879120876
1715776966.9806862	10.08	4.0	0.2637362637362628
1715776967.02871	10.08	4.0	0.2637362637362628
1715776967.076556	13.44	4.0	0.3516483516483504
1715776967.124725	13.44	4.0	0.3516483516483504
1715776967.172839	10.08	4.0	0.7032967032967008
1715776967.2206788	6.72	4.0	2.1098901098901024
1715776967.268619	10.08	4.0	4.04395604395603
1715776967.316813	16.8	4.0	6.417582417582395
1715776967.3647301	10.08	4.0	8.967032967032964
1715776967.41262	16.8	4.0	11.340659340659329
1715776967.460639	10.08	4.0	13.802197802197782
1715776967.508608	13.44	4.0	16.0
1715776967.556588	13.44	4.0	18.021978021978015
1715776967.604696	13.44	4.0	19.956043956043942
1715776967.652618	10.08	4.0	21.978021978021957
1715776967.700563	13.44	4.0	23.824175824175796
1715776967.74862	10.08	4.0	25.758241758241752
1715776967.796888	13.44	4.0	27.69230769230768
1715776967.84456	13.44	4.0	29.53846153846152
1715776967.892577	13.44	4.0	31.208791208791183
1715776967.940779	10.08	4.0	32.879120879120876
1715776967.98876	10.08	4.0	34.46153846153845
1715776968.0366578	13.44	4.0	36.04395604395603
1715776968.084564	10.08	4.0	37.53846153846155
1715776968.132684	10.08	4.0	39.03296703296701
1715776968.180824	13.44	4.0	40.527472527472526
1715776968.228723	10.08	4.0	42.1098901098901
1715776968.276556	13.44	4.0	43.60439560439556
1715776968.324527	10.08	5.0	45.09890109890108
1715776968.372639	13.44	5.0	46.681318681318686
1715776968.4206479	16.8	5.0	48.175824175824175
1715776968.468564	16.8	5.0	49.670329670329664
1715776968.516573	16.8	5.0	51.164835164835154
1715776968.5646029	16.8	5.0	52.65934065934064
1715776968.6126761	16.8	5.0	54.15384615384613
1715776968.660628	13.44	5.0	55.560439560439534
1715776968.7085812	13.44	5.0	57.05494505494505
1715776968.756552	13.44	5.0	58.63736263736263
1715776968.804606	16.8	5.0	60.04395604395603
1715776968.852768	16.8	5.0	61.45054945054943
1715776968.9005299	16.8	5.0	62.94505494505492
1715776968.948506	16.8	5.0	64.35164835164832
1715776968.996674	13.44	5.0	65.67032967032964
1715776969.044676	16.8	5.0	67.25274725274721
1715776969.0924768	16.8	5.0	68.65934065934067
1715776969.1405172	16.8	5.0	70.06593406593407
1715776969.188521	13.44	5.0	71.38461538461539
1715776969.2365599	13.44	5.0	72.79120879120879
1715776969.284609	13.44	5.0	74.28571428571428
1715776969.332493	13.44	5.0	75.69230769230768
1715776969.380723	16.8	5.0	77.09890109890108
1715776969.428633	16.8	5.0	78.59340659340657
1715776969.476653	16.8	5.0	80.0
1715776969.5244942	16.8	5.0	81.4065934065934
1715776969.572476	16.8	5.0	82.63736263736263
1715776969.620715	13.44	5.0	84.04395604395603
1715776969.6685781	16.8	5.0	85.36263736263734
