time	force
1715874089.234446	0.0
1715874089.2347908	0.0
1715874089.235371	0.0
1715874089.235706	0.0
1715874089.2359989	0.0
1715874089.2362912	0.02
1715874089.236574	0.0
1715874089.2368572	0.0
1715874089.2371671	0.0
1715874089.23746	0.0
1715874089.23772	0.02
1715874089.237973	0.02
1715874089.238219	0.0
1715874089.238472	0.02
1715874089.238715	0.02
1715874089.238955	0.0
1715874089.2391932	0.0
1715874089.2394292	0.02
1715874089.287471	0.05
1715874089.338529	0.02
1715874089.389445	0.02
1715874089.440543	0.02
1715874089.491476	0.02
1715874089.5425751	0.05
1715874089.5936441	0.02
1715874089.64469	0.02
1715874089.695711	0.02
1715874089.7468429	0.02
1715874089.7978618	0.02
1715874089.848701	0.0
1715874089.8998988	0.02
1715874089.950746	0.02
1715874090.001569	0.05
1715874090.052785	0.02
1715874090.10399	0.02
1715874090.154838	0.05
1715874090.205811	0.05
1715874090.256516	0.02
1715874090.314153	0.05
1715874090.3609579	0.02
1715874090.409816	0.05
1715874090.4607491	0.05
1715874090.513498	0.05
1715874090.562421	0.0
1715874090.613476	0.05
1715874090.6644192	0.05
1715874090.715421	0.05
1715874090.7664971	0.02
1715874090.8174279	0.05
1715874090.868441	0.05
1715874090.919414	0.02
1715874090.97042	0.02
1715874091.021409	0.05
1715874091.07241	0.05
1715874091.123411	0.05
1715874091.174419	0.05
1715874091.225457	0.02
1715874091.276391	0.05
1715874091.327412	0.05
1715874091.378433	0.02
1715874091.429433	0.07
1715874091.480458	0.05
1715874091.531457	0.05
1715874091.58239	0.05
1715874091.6342962	0.07
1715874091.68446	0.05
1715874091.7354171	0.05
1715874091.786431	0.05
1715874091.8373702	0.07
1715874091.888375	0.05
1715874091.93943	0.14
1715874091.990432	0.29
1715874092.041458	0.46
1715874092.092511	0.62
1715874092.143368	0.81
1715874092.1943848	0.98
1715874092.245426	1.15
1715874092.2965078	1.34
1715874092.347488	1.46
1715874092.398409	1.6
1715874092.449482	1.77
1715874092.500458	1.94
1715874092.551432	2.06
1715874092.6024268	2.18
1715874092.653383	2.3
1715874092.704444	2.47
1715874092.755435	2.56
1715874092.8064342	2.71
1715874092.857451	2.85
1715874092.9083772	2.95
1715874092.959455	3.09
1715874093.0104802	3.23
1715874093.06143	3.35
1715874093.1123881	3.47
1715874093.163458	3.59
1715874093.214421	3.74
1715874093.265483	3.86
1715874093.316416	3.98
1715874093.367441	4.1
1715874093.4183948	4.24
1715874093.469385	4.33
1715874093.520403	4.43
1715874093.571441	4.57
1715874093.622436	4.69
1715874093.6734169	4.77
1715874093.7243662	4.84
1715874093.775393	4.96
1715874093.826418	5.03
1715874093.87736	5.15
1715874093.928451	5.22
1715874093.979481	5.29
1715874094.030394	5.39
1715874094.081356	5.48
1715874094.1324139	5.56
1715874094.183397	5.65
1715874094.234425	5.75
1715874094.2853289	5.8
1715874094.33644	5.87
1715874094.387392	5.94
1715874094.438452	6.01
1715874094.490338	6.08
1715874094.540342	6.18
1715874094.591373	6.23
1715874094.6424441	6.32
1715874094.693402	6.37
1715874094.744403	6.42
1715874094.795433	6.49
1715874094.846366	6.54
1715874094.897346	6.56
1715874094.948395	6.59
1715874094.999427	6.59
1715874095.050389	6.59
1715874095.101365	6.59
1715874095.152371	6.59
1715874095.203398	6.59
1715874095.2544022	6.59
1715874095.305396	6.56
1715874095.35637	6.59
1715874095.407386	6.56
1715874095.458444	6.59
1715874095.5094059	6.56
1715874095.560419	6.56
1715874095.6114209	6.56
1715874095.662393	6.54
1715874095.713436	6.56
1715874095.76443	6.56
1715874095.815382	6.56
1715874095.866432	6.56
1715874095.9173539	6.56
1715874095.9683268	6.54
1715874096.0193741	6.56
1715874096.070379	6.54
1715874096.1214342	6.54
1715874096.1723258	6.54
1715874096.2233868	6.54
1715874096.274417	6.56
1715874096.325362	6.54
1715874096.376378	6.54
1715874096.427426	6.54
1715874096.4783528	6.54
1715874096.529359	6.54
1715874096.5803509	6.51
1715874096.631404	6.51
1715874096.682399	6.54
1715874096.733363	6.54
1715874096.784327	6.51
1715874096.8353658	6.51
1715874096.8863611	6.54
1715874096.937417	6.51
1715874096.988522	6.51
1715874097.039336	6.51
1715874097.090392	6.54
1715874097.141409	6.51
1715874097.192372	6.51
1715874097.243396	6.51
1715874097.295294	6.51
1715874097.345397	6.49
1715874097.3963578	6.51
1715874097.447417	6.49
1715874097.498393	6.49
1715874097.5493262	6.51
1715874097.6003351	6.51
1715874097.6513422	6.49
1715874097.7023811	6.51
1715874097.753381	6.49
1715874097.804325	6.51
1715874097.855384	6.49
1715874097.906375	6.51
1715874097.9574342	6.51
1715874098.008332	6.51
1715874098.059374	6.49
1715874098.1103091	6.51
1715874098.1613429	6.49
1715874098.212336	6.49
1715874098.2633688	6.49
1715874098.314383	6.49
1715874098.365301	6.49
1715874098.4163451	6.47
1715874098.467325	6.51
1715874098.518356	6.49
1715874098.569356	6.47
1715874098.620312	6.47
1715874098.671315	6.47
1715874098.7223392	6.47
1715874098.773356	6.47
1715874098.824385	6.49
1715874098.8754072	6.49
1715874098.926381	6.47
1715874098.97735	6.47
1715874099.028382	6.47
1715874099.079335	6.49
1715874099.130343	6.47
1715874099.181319	6.47
1715874099.232306	6.44
1715874099.2833369	6.47
1715874099.3344371	6.47
1715874099.385356	6.47
1715874099.4362922	6.47
1715874099.487303	6.47
1715874099.538335	6.44
1715874099.589369	6.47
1715874099.640349	6.47
1715874099.69136	6.47
1715874099.7422981	6.47
1715874099.793349	6.47
1715874099.844316	6.47
1715874099.895359	6.47
1715874099.946315	6.49
1715874099.997293	6.47
1715874100.0483441	6.47
1715874100.100186	6.47
1715874100.1502929	6.44
1715874100.201359	6.47
1715874100.2522922	6.47
1715874100.30328	6.47
1715874100.354302	6.47
1715874100.4053278	6.44
1715874100.456304	6.44
1715874100.50736	6.44
1715874100.5582862	6.47
1715874100.609408	6.47
1715874100.660356	6.44
1715874100.7113512	6.47
1715874100.76237	6.44
1715874100.813343	6.47
