time	force
1715874058.9199538	0.02
1715874058.920533	0.0
1715874058.9212642	0.02
1715874058.9217439	0.0
1715874058.922233	0.02
1715874058.9227111	0.0
1715874058.9231942	0.0
1715874058.9438121	0.0
1715874058.9949088	0.02
1715874059.045908	0.05
1715874059.096865	0.0
1715874059.1481469	0.02
1715874059.1989162	0.05
1715874059.250051	0.02
1715874059.301208	0.02
1715874059.352193	0.02
1715874059.403137	0.05
1715874059.454324	0.0
1715874059.5050979	0.02
1715874059.556264	0.05
1715874059.607429	0.05
1715874059.657815	0.02
1715874059.708881	0.05
1715874059.759999	0.02
1715874059.8107672	0.02
1715874059.861944	0.02
1715874059.913696	0.02
1715874059.9638069	0.02
1715874060.017344	0.05
1715874060.0666518	0.02
1715874060.117096	0.02
1715874060.168121	0.05
1715874060.2189949	0.02
1715874060.2697861	0.02
1715874060.320756	0.05
1715874060.371777	0.05
1715874060.4227672	0.05
1715874060.473741	0.05
1715874060.524711	0.02
1715874060.575737	0.05
1715874060.626791	0.05
1715874060.677801	0.02
1715874060.728739	0.05
1715874060.779746	0.05
1715874060.8307352	0.02
1715874060.881768	0.05
1715874060.932765	0.05
1715874060.983808	0.02
1715874061.0347142	0.02
1715874061.0857978	0.05
1715874061.13681	0.05
1715874061.1878111	0.02
1715874061.238755	0.07
1715874061.2897642	0.02
1715874061.340801	0.05
1715874061.391798	0.05
1715874061.4427662	0.05
1715874061.493793	0.05
1715874061.544768	0.05
1715874061.595755	0.05
1715874061.646762	0.05
1715874061.697781	0.05
1715874061.748781	0.02
1715874061.7998579	0.05
1715874061.8507252	0.05
1715874061.90178	0.05
1715874061.9527612	0.05
1715874062.003787	0.05
1715874062.054759	0.02
1715874062.105744	0.02
1715874062.1568158	0.05
1715874062.207783	0.05
1715874062.258762	0.05
1715874062.3097758	0.05
1715874062.360729	0.05
1715874062.4117582	0.05
1715874062.4627671	0.05
1715874062.513802	0.05
1715874062.5647612	0.05
1715874062.6157498	0.05
1715874062.666711	0.05
1715874062.7178009	0.02
1715874062.7696698	0.05
1715874062.819753	0.1
1715874062.870792	0.26
1715874062.921758	0.46
1715874062.9727411	0.65
1715874063.023776	0.84
1715874063.0747788	1.01
1715874063.1257658	1.17
1715874063.176718	1.34
1715874063.227911	1.51
1715874063.278731	1.65
1715874063.329723	1.82
1715874063.3807878	1.96
1715874063.4317389	2.11
1715874063.4827032	2.2
1715874063.533747	2.35
1715874063.584775	2.49
1715874063.635746	2.59
1715874063.686795	2.75
1715874063.737705	2.87
1715874063.788838	3.02
1715874063.839753	3.11
1715874063.890789	3.26
1715874063.9417531	3.4
1715874063.992722	3.52
1715874064.043734	3.64
1715874064.09476	3.74
1715874064.145698	3.88
1715874064.1967459	4.02
1715874064.24777	4.12
1715874064.2987158	4.24
1715874064.349687	4.36
1715874064.400726	4.5
1715874064.451781	4.6
1715874064.502785	4.69
1715874064.553699	4.79
1715874064.604706	4.89
1715874064.6557171	4.98
1715874064.706785	5.03
1715874064.75771	5.13
1715874064.808673	5.22
1715874064.859893	5.29
1715874064.910729	5.39
1715874064.961815	5.46
1715874065.0127711	5.56
1715874065.063793	5.63
1715874065.1147351	5.72
1715874065.165743	5.8
1715874065.2167192	5.84
1715874065.2677388	5.94
1715874065.318757	6.01
1715874065.369727	6.11
1715874065.4207082	6.18
1715874065.4717178	6.25
1715874065.522787	6.32
1715874065.5746088	6.37
1715874065.6247091	6.44
1715874065.6757429	6.49
1715874065.726698	6.51
1715874065.777719	6.51
1715874065.82868	6.51
1715874065.8797219	6.51
1715874065.930673	6.51
1715874065.981754	6.49
1715874066.032661	6.51
1715874066.0837781	6.51
1715874066.134763	6.49
1715874066.1856909	6.51
1715874066.236685	6.49
1715874066.287749	6.49
1715874066.3387148	6.49
1715874066.3897338	6.49
1715874066.440664	6.49
1715874066.4916968	6.49
1715874066.542706	6.51
1715874066.593763	6.47
1715874066.644632	6.49
1715874066.695671	6.44
1715874066.746677	6.47
1715874066.797687	6.44
1715874066.848681	6.47
1715874066.899743	6.44
1715874066.950707	6.44
1715874067.0016909	6.44
1715874067.0526578	6.49
1715874067.1037629	6.47
1715874067.154733	6.44
1715874067.205736	6.42
1715874067.2566469	6.42
1715874067.30767	6.44
1715874067.358662	6.44
1715874067.40973	6.47
1715874067.4607239	6.44
1715874067.511701	6.44
1715874067.562648	6.42
1715874067.613742	6.44
1715874067.664702	6.42
1715874067.715758	6.42
1715874067.7667751	6.42
1715874067.817627	6.44
1715874067.8686788	6.42
1715874067.919698	6.42
1715874067.970767	6.39
1715874068.021744	6.42
1715874068.072681	6.42
1715874068.1236439	6.42
1715874068.1747699	6.39
1715874068.225734	6.39
1715874068.276764	6.42
1715874068.327672	6.39
1715874068.379528	6.39
1715874068.4297159	6.42
1715874068.480683	6.39
1715874068.5316741	6.39
1715874068.582704	6.39
1715874068.633644	6.39
1715874068.6847181	6.39
1715874068.7356439	6.39
1715874068.7867231	6.39
1715874068.837724	6.39
1715874068.888646	6.42
1715874068.939668	6.39
1715874068.990701	6.39
1715874069.041714	6.39
1715874069.092674	6.39
1715874069.143629	6.37
1715874069.1946461	6.37
1715874069.2456808	6.37
1715874069.2966342	6.39
1715874069.347716	6.39
1715874069.39868	6.37
1715874069.44963	6.39
1715874069.500704	6.37
1715874069.5516381	6.37
1715874069.602697	6.39
1715874069.653725	6.37
1715874069.70465	6.37
1715874069.755661	6.37
1715874069.806686	6.37
1715874069.857712	6.37
1715874069.908632	6.37
1715874069.95964	6.37
1715874070.010616	6.39
1715874070.061717	6.37
1715874070.112718	6.37
1715874070.163636	6.37
1715874070.214657	6.37
1715874070.26563	6.37
1715874070.31662	6.37
1715874070.3676648	6.37
1715874070.41872	6.37
1715874070.469716	6.37
1715874070.520724	6.35
1715874070.572027	6.37
1715874070.622889	6.35
1715874070.6739872	6.35
1715874070.724969	6.35
1715874070.7756999	6.37
1715874070.826682	6.37
1715874070.877897	6.37
1715874070.928982	6.35
1715874070.979883	6.35
1715874071.0308428	6.37
1715874071.081889	6.37
1715874071.1326878	6.35
1715874071.183923	6.35
1715874071.235553	6.37
1715874071.285703	6.37
1715874071.336912	6.35
1715874071.387774	6.35
1715874071.43887	6.35
1715874071.489836	6.35
1715874071.540958	6.35
1715874071.591657	6.37
