time	present_current	position_shift
1715874215.235647	23.52	0.0
1715874215.267639	20.16	0.0
1715874215.299602	20.16	0.0
1715874215.331716	16.8	0.0
1715874215.363723	23.52	0.0
1715874215.39555	23.52	0.0
1715874215.427565	20.16	0.0
1715874215.459518	23.52	0.0
1715874215.491552	26.88	0.0
1715874215.5235982	20.16	0.0
1715874215.5557172	23.52	0.0
1715874215.58759	16.8	0.0
1715874215.619603	20.16	0.0
1715874215.651499	23.52	0.0
1715874215.6834922	23.52	0.0
1715874215.715594	20.16	0.0
1715874215.747678	23.52	0.0
1715874215.779846	23.52	0.0
1715874215.811693	23.52	0.0
1715874215.843733	23.52	0.0
1715874215.875596	20.16	0.0
1715874215.9075541	16.8	0.0
1715874215.939617	23.52	0.0
1715874215.971582	20.16	0.0
1715874216.003554	16.8	0.0
1715874216.03569	20.16	0.0
1715874216.0675762	23.52	0.0
1715874216.09956	23.52	0.0
1715874216.131493	23.52	0.0
1715874216.163533	20.16	0.0
1715874216.1957178	23.52	0.0
1715874216.227668	20.16	0.0
1715874216.259615	23.52	0.0
1715874216.2915142	26.88	0.0
1715874216.323484	20.16	0.0
1715874216.355553	20.16	0.0
1715874216.387972	26.88	0.0
1715874216.419756	23.52	0.0
1715874216.451731	26.88	0.0
1715874216.483593	23.52	0.0
1715874216.515539	26.88	0.0
1715874216.547484	20.16	0.0
1715874216.57966	23.52	0.0
1715874216.611697	16.8	0.0
1715874216.643661	30.24	0.0
1715874216.675704	23.52	0.0
1715874216.707554	23.52	0.0
1715874216.739447	20.16	0.0
1715874216.771515	23.52	0.0
1715874216.80362	23.52	0.1758241758241752
1715874216.835733	20.16	0.879120879120876
1715874216.867724	20.16	2.1098901098901024
1715874216.899572	26.88	3.516483516483504
1715874216.931466	20.16	5.274725274725313
1715874216.9635022	20.16	6.945054945055006
1715874216.9958029	16.8	8.615384615384642
1715874217.027752	23.52	10.373626373626394
1715874217.059606	20.16	12.043956043956086
1715874217.091545	13.44	13.802197802197838
1715874217.123511	16.8	15.384615384615415
1715874217.155443	23.52	17.05494505494505
1715874217.187464	23.52	18.637362637362628
1715874217.219594	20.16	20.219780219780205
1715874217.251455	20.16	21.80219780219778
1715874217.2835772	20.16	23.38461538461536
1715874217.315495	23.52	24.967032967032935
1715874217.347403	20.16	26.461538461538453
1715874217.3794591	16.8	28.043956043956086
1715874217.411438	23.52	29.538461538461604
1715874217.443439	20.16	31.032967032967065
1715874217.4754272	23.52	32.439560439560466
1715874217.507551	26.88	33.75824175824181
1715874217.5394619	20.16	35.076923076923094
1715874217.571384	20.16	36.483516483516496
1715874217.603395	20.16	37.71428571428572
1715874217.635526	23.52	39.032967032967065
1715874217.6674519	23.52	40.35164835164835
1715874217.699745	23.52	41.67032967032969
1715874217.73147	20.16	42.98901098901098
1715874217.7636511	23.52	44.219780219780205
1715874217.795445	26.88	45.53846153846155
1715874217.8274372	23.52	46.769230769230774
1715874217.8595042	20.16	48.0
1715874217.8914418	23.52	49.230769230769226
1715874217.923557	23.52	50.54945054945057
1715874217.9555268	20.16	51.692307692307736
1715874217.9874911	20.16	52.92307692307696
1715874218.019406	20.16	54.15384615384619
1715874218.051423	20.16	55.384615384615415
1715874218.083477	23.52	56.527472527472526
1715874218.1153972	20.16	57.75824175824175
1715874218.147441	20.16	58.98901098901098
1715874218.179344	20.16	60.219780219780205
1715874218.211465	23.52	61.45054945054943
1715874218.2435799	20.16	62.5934065934066
1715874218.2755132	16.8	63.73626373626371
1715874218.307414	20.16	64.96703296703294
1715874218.339423	20.16	66.1098901098901
1715874218.37143	23.52	67.16483516483515
1715874218.403362	20.16	68.30769230769226
1715874218.435363	23.52	69.36263736263732
1715874218.467409	20.16	70.32967032967031
1715874218.499421	20.16	71.29670329670324
1715874218.531394	26.88	72.26373626373629
1715874218.563395	23.52	73.23076923076928
1715874218.595374	20.16	74.02197802197804
1715874218.6273239	20.16	74.98901098901104
1715874218.659471	20.16	76.04395604395609
1715874218.691385	23.52	76.92307692307696
1715874218.7233658	23.52	77.8901098901099
1715874218.755431	23.52	78.85714285714289
1715874218.7874382	23.52	79.73626373626371
1715874218.819464	23.52	80.61538461538464
1715874218.85137	23.52	81.49450549450546
1715874218.8833878	20.16	82.3736263736264
1715874218.915333	23.52	83.25274725274721
1715874218.94735	20.16	84.13186813186815
1715874218.979389	23.52	85.01098901098896
1715874219.011421	20.16	85.8901098901099
1715874219.043299	23.52	86.76923076923072
1715874219.0753229	23.52	87.64835164835165
1715874219.107439	20.16	88.43956043956041
1715874219.139404	20.16	89.4065934065934
1715874219.171432	23.52	90.19780219780216
1715874219.2033432	20.16	90.98901098901092
1715874219.2352698	23.52	91.7802197802198
1715874219.267309	23.52	92.57142857142856
1715874219.299318	20.16	93.36263736263732
1715874219.331393	20.16	94.24175824175825
1715874219.363289	20.16	95.03296703296712
1715874219.3954089	20.16	95.82417582417588
1715874219.4274108	20.16	96.61538461538464
1715874219.459296	23.52	97.4065934065934
1715874219.491235	23.52	98.19780219780228
1715874219.523424	20.16	98.98901098901104
1715874219.5553322	20.16	99.69230769230774
1715874219.587314	16.8	100.4835164835165
1715874219.619301	33.6	101.1868131868132
1715874219.651246	23.52	101.71428571428578
1715874219.683412	23.52	102.24175824175825
1715874219.715442	23.52	102.76923076923083
1715874219.747356	23.52	103.20879120879124
1715874219.7792718	26.88	103.73626373626371
1715874219.811306	20.16	104.35164835164835
1715874219.843293	20.16	104.79120879120876
1715874219.8752499	20.16	105.23076923076928
1715874219.907446	30.24	105.49450549450546
1715874219.9401119	20.16	105.49450549450546
1715874219.9719748	23.52	105.4065934065934
1715874220.00327	20.16	105.49450549450546
1715874220.035292	20.16	105.49450549450546
1715874220.0672178	20.16	105.4065934065934
1715874220.099272	20.16	105.49450549450546
1715874220.131253	20.16	105.49450549450546
1715874220.1634402	20.16	105.49450549450546
1715874220.195303	23.52	105.49450549450546
1715874220.2272608	20.16	105.4065934065934
1715874220.259181	23.52	105.49450549450546
1715874220.2912178	23.52	105.49450549450546
1715874220.323173	23.52	105.49450549450546
1715874220.35543	26.88	105.4065934065934
1715874220.387276	20.16	105.49450549450546
1715874220.419227	20.16	105.49450549450546
1715874220.451257	20.16	105.49450549450546
1715874220.483228	23.52	105.4065934065934
1715874220.5152042	20.16	105.49450549450546
1715874220.54721	23.52	105.4065934065934
1715874220.579304	20.16	105.49450549450546
1715874220.611278	20.16	105.49450549450546
1715874220.643235	20.16	105.49450549450546
1715874220.675301	20.16	105.49450549450546
1715874220.707246	23.52	105.49450549450546
1715874220.739188	23.52	105.49450549450546
1715874220.771253	20.16	105.49450549450546
1715874220.803235	23.52	105.49450549450546
1715874220.835367	20.16	105.49450549450546
1715874220.867203	20.16	105.49450549450546
1715874220.899189	20.16	105.49450549450546
1715874220.931274	20.16	105.49450549450546
1715874220.9632719	23.52	105.49450549450546
1715874220.99525	23.52	105.49450549450546
1715874221.0272179	20.16	105.49450549450546
1715874221.059486	20.16	105.4065934065934
1715874221.0912871	16.8	105.49450549450546
1715874221.123355	23.52	105.49450549450546
1715874221.1551628	20.16	105.49450549450546
1715874221.1871612	23.52	105.49450549450546
1715874221.21923	20.16	105.49450549450546
1715874221.25122	23.52	105.49450549450546
1715874221.283207	20.16	105.49450549450546
1715874221.315247	20.16	105.49450549450546
1715874221.3472111	23.52	105.49450549450546
1715874221.3791502	23.52	105.49450549450546
1715874221.4112582	23.52	105.49450549450546
1715874221.443211	20.16	105.49450549450546
1715874221.475307	23.52	105.49450549450546
1715874221.507216	20.16	105.49450549450546
1715874221.539149	23.52	105.49450549450546
1715874221.571161	23.52	105.49450549450546
1715874221.603157	20.16	105.4065934065934
1715874221.6352909	23.52	105.49450549450546
1715874221.667268	20.16	105.49450549450546
1715874221.699121	23.52	105.49450549450546
1715874221.731115	20.16	105.49450549450546
1715874221.763107	23.52	105.49450549450546
1715874221.795135	20.16	105.49450549450546
1715874221.8272681	20.16	105.49450549450546
1715874221.85916	20.16	105.49450549450546
1715874221.891168	20.16	105.49450549450546
1715874221.9232051	23.52	105.49450549450546
1715874221.9550898	20.16	105.4065934065934
1715874221.987255	23.52	105.4065934065934
1715874222.019104	23.52	105.49450549450546
1715874222.051172	23.52	105.49450549450546
1715874222.083331	20.16	105.49450549450546
1715874222.115189	20.16	105.49450549450546
1715874222.1471019	20.16	105.49450549450546
1715874222.179158	23.52	105.49450549450546
1715874222.2111151	23.52	105.49450549450546
1715874222.2433448	20.16	105.49450549450546
1715874222.2751691	23.52	105.49450549450546
1715874222.307574	23.52	105.49450549450546
1715874222.339186	20.16	105.49450549450546
1715874222.371087	20.16	105.49450549450546
1715874222.4030359	20.16	105.49450549450546
1715874222.4350379	23.52	105.49450549450546
1715874222.467148	23.52	105.49450549450546
1715874222.499203	23.52	105.4065934065934
1715874222.5311182	20.16	105.49450549450546
1715874222.563183	20.16	105.4065934065934
1715874222.595131	20.16	105.49450549450546
1715874222.627103	20.16	105.4065934065934
1715874222.659157	23.52	105.49450549450546
1715874222.6911511	23.52	105.49450549450546
1715874222.7232509	23.52	105.49450549450546
1715874222.755181	20.16	105.49450549450546
1715874222.787244	23.52	105.49450549450546
1715874222.819096	23.52	105.49450549450546
1715874222.851097	23.52	105.49450549450546
1715874222.883219	23.52	105.49450549450546
1715874222.915112	20.16	105.4065934065934
1715874222.947083	20.16	105.49450549450546
1715874222.978998	23.52	105.49450549450546
1715874223.011062	23.52	105.49450549450546
1715874223.043044	20.16	105.49450549450546
1715874223.075098	20.16	105.49450549450546
1715874223.107605	20.16	105.49450549450546
1715874223.139637	20.16	105.49450549450546
1715874223.1712132	20.16	105.4065934065934
1715874223.203093	20.16	105.49450549450546
1715874223.2350662	23.52	105.49450549450546
1715874223.2671082	23.52	105.49450549450546
1715874223.299105	23.52	105.4065934065934
1715874223.331143	20.16	105.49450549450546
1715874223.3631349	23.52	105.49450549450546
1715874223.395079	23.52	105.49450549450546
1715874223.427114	20.16	105.49450549450546
1715874223.459051	20.16	105.49450549450546
1715874223.4910522	20.16	105.49450549450546
1715874223.52327	23.52	105.49450549450546
1715874223.555191	20.16	105.49450549450546
1715874223.587212	23.52	105.49450549450546
1715874223.61905	20.16	105.4065934065934
1715874223.651018	20.16	105.4065934065934
1715874223.6830442	23.52	105.49450549450546
1715874223.715171	20.16	105.4065934065934
1715874223.747186	20.16	105.49450549450546
1715874223.779158	20.16	105.4065934065934
1715874223.811043	23.52	105.49450549450546
1715874223.843055	23.52	105.49450549450546
1715874223.8749282	20.16	105.4065934065934
1715874223.906968	20.16	105.49450549450546
1715874223.939007	23.52	105.49450549450546
1715874223.971076	23.52	105.49450549450546
1715874224.003192	20.16	105.49450549450546
1715874224.034969	23.52	105.49450549450546
1715874224.066966	23.52	105.49450549450546
1715874224.0989718	23.52	105.49450549450546
1715874224.131166	23.52	105.4065934065934
1715874224.163119	23.52	105.49450549450546
1715874224.195104	20.16	105.49450549450546
1715874224.227419	20.16	105.49450549450546
1715874224.2590148	20.16	105.49450549450546
1715874224.2909281	23.52	105.49450549450546
1715874224.323027	20.16	105.4065934065934
1715874224.3549922	20.16	105.49450549450546
1715874224.3870919	23.52	105.49450549450546
1715874224.418991	23.52	105.49450549450546
1715874224.45094	20.16	105.49450549450546
1715874224.482964	20.16	105.49450549450546
1715874224.5150762	23.52	105.49450549450546
1715874224.547075	23.52	105.49450549450546
1715874224.57915	20.16	105.49450549450546
1715874224.610996	20.16	105.49450549450546
1715874224.642963	23.52	105.49450549450546
1715874224.6750069	20.16	105.4065934065934
1715874224.70692	20.16	105.49450549450546
1715874224.7388852	20.16	105.49450549450546
1715874224.771012	23.52	105.49450549450546
1715874224.802906	20.16	105.49450549450546
1715874224.834961	23.52	105.49450549450546
1715874224.866904	20.16	105.49450549450546
1715874224.898876	23.52	105.49450549450546
1715874224.930909	23.52	105.49450549450546
1715874224.9630332	20.16	105.49450549450546
1715874224.99493	23.52	105.49450549450546
1715874225.027091	20.16	105.4065934065934
1715874225.059056	23.52	105.49450549450546
1715874225.090914	20.16	105.4065934065934
1715874225.1228511	23.52	105.49450549450546
1715874225.1550121	20.16	105.49450549450546
1715874225.187178	20.16	105.49450549450546
1715874225.219244	20.16	105.49450549450546
