time	force
1715873906.7600121	0.0
1715873906.8110132	0.02
1715873906.8620648	0.02
1715873906.913017	0.02
1715873906.964097	0.02
1715873907.0150511	0.02
1715873907.066081	0.0
1715873907.1171288	0.02
1715873907.1682858	0.02
1715873907.21917	0.0
1715873907.270051	0.02
1715873907.321036	0.02
1715873907.3719811	0.02
1715873907.423956	0.02
1715873907.473996	0.02
1715873907.524986	0.02
1715873907.5760372	0.0
1715873907.627132	0.0
1715873907.678036	0.02
1715873907.729106	0.0
1715873907.780331	0.0
1715873907.833191	0.02
1715873907.882236	0.02
1715873907.933215	0.05
1715873907.985781	0.0
1715873908.03532	0.02
1715873908.086006	0.0
1715873908.137016	0.0
1715873908.188021	0.02
1715873908.239014	0.02
1715873908.289991	0.0
1715873908.340995	0.02
1715873908.391996	0.02
1715873908.443016	0.12
1715873908.4939919	0.26
1715873908.544987	0.38
1715873908.596024	0.55
1715873908.647022	0.67
1715873908.697985	0.79
1715873908.749002	0.91
1715873908.8000052	1.05
1715873908.8509922	1.17
1715873908.901999	1.27
1715873908.952991	1.39
1715873909.003999	1.48
1715873909.055051	1.63
1715873909.105988	1.75
1715873909.157237	1.87
1715873909.20801	1.99
1715873909.259031	2.13
1715873909.309997	2.23
1715873909.360988	2.32
1715873909.412008	2.44
1715873909.463001	2.54
1715873909.5139892	2.61
1715873909.565151	2.68
1715873909.616	2.78
1715873909.667089	2.87
1715873909.717963	2.99
1715873909.76899	3.09
1715873909.819998	3.21
1715873909.870986	3.3
1715873909.921972	3.38
1715873909.9729679	3.47
1715873910.0239801	3.57
1715873910.07498	3.62
1715873910.1259992	3.71
1715873910.176966	3.83
1715873910.228893	3.9
1715873910.2789881	4.02
1715873910.329983	4.1
1715873910.380988	4.22
1715873910.431982	4.31
1715873910.482988	4.41
1715873910.533995	4.53
1715873910.5849972	4.62
1715873910.635968	4.69
1715873910.686948	4.79
1715873910.737939	4.84
1715873910.789001	4.93
1715873910.839948	5.03
1715873910.891039	5.05
1715873910.9420512	5.15
1715873910.993052	5.2
1715873911.0440361	5.27
1715873911.0950432	5.34
1715873911.1461031	5.39
1715873911.1970718	5.41
1715873911.2480268	5.48
1715873911.2989771	5.53
1715873911.3500102	5.58
1715873911.401067	5.6
1715873911.452054	5.65
1715873911.503041	5.75
1715873911.5540092	5.75
1715873911.605023	5.8
1715873911.6562061	5.92
1715873911.707029	5.96
1715873911.758069	6.01
1715873911.809071	6.06
1715873911.8599858	6.11
1715873911.911024	6.11
1715873911.962006	6.11
1715873912.01294	6.11
1715873912.064047	6.13
1715873912.114995	6.13
1715873912.165983	6.15
1715873912.217023	6.23
1715873912.268066	6.23
1715873912.319052	6.27
1715873912.370016	6.3
1715873912.4210181	6.32
1715873912.472019	6.35
1715873912.523058	6.37
1715873912.57405	6.39
1715873912.6250482	6.39
1715873912.6759748	6.42
1715873912.7269871	6.39
1715873912.777972	6.39
1715873912.8290691	6.39
1715873912.880024	6.39
1715873912.9309618	6.39
1715873912.981968	6.37
1715873913.033025	6.37
1715873913.084917	6.37
1715873913.135078	6.37
1715873913.185951	6.37
1715873913.236972	6.37
1715873913.288008	6.35
1715873913.339039	6.35
1715873913.38996	6.35
1715873913.441024	6.35
1715873913.4920168	6.32
1715873913.543041	6.35
1715873913.5939908	6.35
1715873913.645012	6.35
1715873913.696018	6.35
1715873913.7470012	6.32
1715873913.798031	6.3
1715873913.849004	6.32
1715873913.900032	6.32
1715873913.951008	6.3
1715873914.0019898	6.32
1715873914.052968	6.3
1715873914.104011	6.3
1715873914.155006	6.3
1715873914.206024	6.27
1715873914.256989	6.3
1715873914.3079848	6.3
1715873914.3590121	6.27
1715873914.4100192	6.27
1715873914.4610078	6.27
1715873914.512011	6.25
1715873914.562931	6.25
1715873914.6139781	6.25
1715873914.66498	6.25
1715873914.715969	6.25
1715873914.767085	6.23
1715873914.817976	6.23
1715873914.8689432	6.25
1715873914.919976	6.23
1715873914.970977	6.23
1715873915.022053	6.23
1715873915.072974	6.2
1715873915.123944	6.2
1715873915.174977	6.18
1715873915.2259998	6.18
1715873915.276983	6.18
1715873915.327949	6.15
1715873915.379025	6.18
1715873915.430002	6.15
1715873915.4809852	6.13
1715873915.5319831	6.15
1715873915.582985	6.15
1715873915.634017	6.15
1715873915.684984	6.15
1715873915.735945	6.15
1715873915.7870138	6.15
1715873915.837975	6.15
1715873915.889887	6.15
1715873915.939925	6.13
1715873915.9910588	6.13
1715873916.041982	6.15
1715873916.092992	6.13
1715873916.1440032	6.15
1715873916.194953	6.13
1715873916.245989	6.13
1715873916.297	6.13
1715873916.3479738	6.13
1715873916.3990211	6.13
1715873916.44994	6.13
1715873916.501015	6.13
1715873916.551947	6.13
1715873916.603006	6.13
1715873916.653972	6.15
1715873916.705041	6.15
1715873916.755928	6.13
1715873916.807025	6.13
1715873916.857985	6.15
1715873916.909019	6.13
1715873916.960001	6.13
1715873917.010924	6.13
1715873917.0619671	6.13
1715873917.113014	6.13
1715873917.1639621	6.13
1715873917.214998	6.15
1715873917.26593	6.13
1715873917.316949	6.15
1715873917.367939	6.13
1715873917.418987	6.11
1715873917.4699678	6.13
1715873917.520993	6.13
1715873917.571928	6.13
1715873917.6229398	6.15
1715873917.6739929	6.13
1715873917.72513	6.13
1715873917.7759612	6.13
1715873917.826981	6.15
1715873917.877986	6.15
1715873917.928919	6.13
1715873917.979966	6.13
1715873918.030977	6.13
1715873918.081919	6.13
1715873918.132972	6.15
1715873918.183937	6.11
1715873918.234934	6.13
1715873918.28602	6.13
1715873918.3369868	6.13
1715873918.388261	6.13
1715873918.439039	6.13
1715873918.490231	6.13
1715873918.541188	6.13
1715873918.5919738	6.13
1715873918.6429682	6.13
1715873918.6939971	6.13
1715873918.745893	6.13
1715873918.795973	6.13
1715873918.8471801	6.11
1715873918.899078	6.13
1715873918.9489868	6.11
1715873919.000443	6.11
1715873919.050992	6.11
1715873919.1020532	6.11
