time	present_current	position_shift
1715874337.749378	20.16	0.0
1715874337.781358	23.52	0.0
1715874337.813198	20.16	0.0
1715874337.8453948	20.16	0.0
1715874337.877332	20.16	0.0
1715874337.909274	20.16	0.0
1715874337.941183	23.52	0.0
1715874337.973279	23.52	0.0
1715874338.005237	23.52	0.0
1715874338.0372999	20.16	0.0
1715874338.069282	23.52	0.0
1715874338.101423	23.52	-0.08791208791205918
1715874338.133308	20.16	0.0
1715874338.1652942	16.8	0.0
1715874338.197237	20.16	0.0
1715874338.229237	20.16	0.0
1715874338.2612789	23.52	0.0
1715874338.2932448	16.8	-0.08791208791205918
1715874338.325273	20.16	0.0
1715874338.35728	23.52	0.0
1715874338.389235	23.52	0.0
1715874338.421189	20.16	0.0
1715874338.4531882	23.52	0.0
1715874338.485253	23.52	0.0
1715874338.517241	23.52	0.0
1715874338.5493171	20.16	0.0
1715874338.581142	23.52	0.0
1715874338.613197	23.52	0.0
1715874338.645327	23.52	0.0
1715874338.67728	23.52	0.0
1715874338.709239	23.52	0.0
1715874338.741303	20.16	0.0
1715874338.77332	23.52	0.0
1715874338.805177	23.52	0.0
1715874338.837239	20.16	0.0
1715874338.869259	20.16	0.0
1715874338.90132	20.16	0.0
1715874338.9334059	23.52	-0.08791208791205918
1715874338.9653141	26.88	0.0
1715874338.9972029	20.16	0.0
1715874339.0291252	20.16	0.0
1715874339.061203	23.52	0.0
1715874339.093351	23.52	0.0
1715874339.1253278	20.16	0.0
1715874339.157299	23.52	0.0
1715874339.189224	20.16	0.0
1715874339.2211509	20.16	0.0
1715874339.253236	23.52	0.0
1715874339.28526	23.52	0.0
1715874339.317172	23.52	0.0
1715874339.349186	23.52	-0.08791208791205918
1715874339.381408	20.16	0.0
1715874339.413226	23.52	0.0
1715874339.4451919	20.16	0.0
1715874339.4771872	23.52	0.0
1715874339.509182	23.52	-0.08791208791205918
1715874339.541322	20.16	0.0
1715874339.5734022	26.88	0.0
1715874339.605371	20.16	0.0
1715874339.637146	23.52	0.0
1715874339.6691241	23.52	0.0
1715874339.7011478	23.52	0.0
1715874339.7331772	23.52	0.0
1715874339.765266	23.52	0.0
1715874339.797421	20.16	0.0
1715874339.8291001	23.52	0.0
1715874339.861291	23.52	0.0
1715874339.893318	23.52	-0.08791208791205918
1715874339.9251919	23.52	0.0
1715874339.957267	20.16	0.0
1715874339.989286	23.52	0.0
1715874340.021333	20.16	0.0
1715874340.053149	23.52	0.0
1715874340.0851011	20.16	0.0
1715874340.117125	20.16	0.0
1715874340.149261	20.16	0.0
1715874340.181362	23.52	0.0
1715874340.213311	20.16	0.0
1715874340.245118	30.24	0.0
1715874340.277152	23.52	0.0
1715874340.3091462	20.16	0.0
1715874340.3413398	23.52	0.0
1715874340.373276	20.16	0.5274725274725256
1715874340.405192	23.52	1.758241758241752
1715874340.4371269	20.16	3.0769230769231513
1715874340.4691288	23.52	4.659340659340728
1715874340.501098	16.8	6.41758241758248
1715874340.5331268	20.16	8.175824175824232
1715874340.565193	16.8	10.0219780219781
1715874340.597176	13.44	12.043956043956086
1715874340.629149	23.52	13.890109890109954
1715874340.6610959	20.16	15.736263736263766
1715874340.693085	26.88	17.40659340659346
1715874340.725153	23.52	19.076923076923094
1715874340.7572029	26.88	20.65934065934067
1715874340.789262	26.88	22.329670329670364
1715874340.821328	23.52	23.824175824175825
1715874340.853291	26.88	25.494505494505574
1715874340.88511	23.52	26.989010989011092
1715874340.917112	23.52	28.659340659340728
1715874340.949101	20.16	30.241758241758305
1715874340.981247	20.16	31.736263736263822
1715874341.0132558	13.44	33.23076923076928
1715874341.045256	30.24	34.81318681318686
1715874341.07712	23.52	36.1318681318682
1715874341.1091	23.52	37.45054945054949
1715874341.1411042	23.52	38.76923076923083
1715874341.173179	23.52	40.26373626373629
1715874341.205216	23.52	41.582417582417634
1715874341.23724	23.52	42.81318681318686
1715874341.2692008	20.16	44.131868131868146
1715874341.301124	20.16	45.45054945054949
1715874341.333196	16.8	46.681318681318714
1715874341.365089	20.16	47.912087912088
1715874341.397181	20.16	49.23076923076928
1715874341.4292312	20.16	50.46153846153851
1715874341.461081	20.16	51.692307692307736
1715874341.49314	20.16	53.01098901098908
1715874341.525066	20.16	54.15384615384619
1715874341.557132	20.16	55.47252747252753
1715874341.589065	20.16	56.70329670329676
1715874341.6211321	20.16	57.934065934065984
1715874341.6531782	20.16	59.16483516483521
1715874341.68527	20.16	60.39560439560444
1715874341.716973	26.88	61.53846153846155
1715874341.749103	20.16	62.769230769230774
1715874341.780988	23.52	63.91208791208794
1715874341.813115	23.52	65.05494505494505
1715874341.8452008	23.52	66.19780219780222
1715874341.877255	20.16	67.42857142857144
1715874341.90911	23.52	68.57142857142856
1715874341.94124	23.52	69.71428571428572
1715874341.973036	23.52	70.85714285714295
1715874342.005024	23.52	71.912087912088
1715874342.0370948	20.16	73.05494505494511
1715874342.0691571	23.52	73.93406593406598
1715874342.1012108	20.16	74.98901098901104
1715874342.133198	23.52	75.95604395604403
1715874342.164979	23.52	76.92307692307702
1715874342.196964	23.52	77.8901098901099
1715874342.229151	20.16	78.76923076923083
1715874342.261072	23.52	79.73626373626382
1715874342.293215	23.52	80.7032967032967
1715874342.325012	20.16	81.58241758241763
1715874342.356985	23.52	82.54945054945063
1715874342.38899	23.52	83.42857142857144
1715874342.421141	23.52	84.39560439560444
1715874342.453225	23.52	85.36263736263743
1715874342.485161	20.16	86.24175824175825
1715874342.5171359	20.16	87.20879120879124
1715874342.548956	16.8	88.08791208791206
1715874342.5808902	23.52	88.96703296703299
1715874342.613035	20.16	89.84615384615381
1715874342.645029	20.16	90.63736263736268
1715874342.6771939	20.16	91.5164835164835
1715874342.709161	23.52	92.39560439560444
1715874342.7411368	23.52	93.27472527472537
1715874342.7730088	23.52	94.15384615384619
1715874342.805076	20.16	94.94505494505506
1715874342.8370209	23.52	95.82417582417588
1715874342.868934	23.52	96.61538461538464
1715874342.901061	20.16	97.40659340659352
1715874342.933142	20.16	98.28571428571433
1715874342.964907	20.16	99.0769230769231
1715874342.996968	20.16	99.86813186813197
1715874343.029164	20.16	100.74725274725279
1715874343.06112	20.16	101.45054945054949
1715874343.0929248	23.52	102.32967032967042
1715874343.124929	20.16	103.20879120879124
1715874343.156949	23.52	103.91208791208794
1715874343.188969	23.52	104.79120879120887
1715874343.221002	23.52	105.58241758241763
1715874343.253388	23.52	106.3736263736264
1715874343.2849998	23.52	107.25274725274733
1715874343.317066	16.8	107.95604395604403
1715874343.348877	20.16	108.74725274725279
1715874343.380814	20.16	109.53846153846155
1715874343.412896	20.16	110.32967032967031
1715874343.4449542	20.16	111.12087912087918
1715874343.4769778	23.52	111.82417582417588
1715874343.5089438	20.16	112.61538461538464
1715874343.540927	23.52	113.31868131868134
1715874343.573258	20.16	114.1098901098901
1715874343.605136	20.16	114.8131868131868
1715874343.636977	23.52	115.60439560439568
1715874343.6689	20.16	116.39560439560444
1715874343.700903	20.16	117.09890109890114
1715874343.7328901	23.52	117.62637362637372
1715874343.7648482	20.16	118.06593406593413
1715874343.796851	23.52	118.06593406593413
1715874343.8288682	20.16	118.06593406593413
1715874343.861024	23.52	118.06593406593413
1715874343.892859	23.52	118.06593406593413
1715874343.924856	20.16	118.06593406593413
1715874343.9568908	20.16	118.06593406593413
1715874343.9891179	20.16	118.06593406593413
1715874344.020863	20.16	118.06593406593413
1715874344.0528588	23.52	118.06593406593413
1715874344.085165	23.52	118.06593406593413
1715874344.117054	23.52	118.06593406593413
1715874344.148872	23.52	118.06593406593413
1715874344.1809332	23.52	118.06593406593413
1715874344.21293	23.52	118.06593406593413
1715874344.244877	23.52	118.06593406593413
1715874344.276963	23.52	118.06593406593413
1715874344.308834	23.52	118.06593406593413
1715874344.340844	23.52	118.06593406593413
1715874344.37289	20.16	118.06593406593413
1715874344.405099	23.52	118.06593406593413
1715874344.436836	23.52	118.06593406593413
1715874344.468796	20.16	118.06593406593413
1715874344.50087	23.52	118.06593406593413
1715874344.532827	20.16	118.06593406593413
1715874344.565001	20.16	118.06593406593413
1715874344.596889	20.16	118.06593406593413
1715874344.6289952	20.16	118.06593406593413
1715874344.660896	20.16	118.06593406593413
1715874344.692808	20.16	118.06593406593413
1715874344.7247412	23.52	118.06593406593413
1715874344.756938	23.52	118.06593406593413
1715874344.7888792	20.16	118.06593406593413
1715874344.82092	20.16	118.06593406593413
1715874344.8528	20.16	118.06593406593413
1715874344.884886	23.52	118.06593406593413
1715874344.916775	20.16	118.06593406593413
1715874344.948797	23.52	118.06593406593413
1715874344.980823	20.16	118.06593406593413
1715874345.013005	23.52	118.06593406593413
1715874345.044924	23.52	118.06593406593413
1715874345.076864	20.16	118.06593406593413
1715874345.1088068	20.16	118.06593406593413
1715874345.1408262	20.16	118.06593406593413
1715874345.172852	20.16	118.06593406593413
1715874345.204803	20.16	118.06593406593413
1715874345.236871	23.52	118.06593406593413
1715874345.268928	23.52	118.06593406593413
1715874345.3012512	20.16	118.06593406593413
1715874345.332831	23.52	118.06593406593413
1715874345.365083	20.16	118.06593406593413
1715874345.396857	20.16	118.06593406593413
1715874345.428842	20.16	118.06593406593413
1715874345.4607859	20.16	118.06593406593413
1715874345.4927418	23.52	118.06593406593413
1715874345.5247638	23.52	118.06593406593413
1715874345.556837	23.52	118.06593406593413
1715874345.588852	20.16	118.06593406593413
1715874345.620864	20.16	118.06593406593413
1715874345.652878	23.52	118.06593406593413
1715874345.684789	23.52	118.06593406593413
1715874345.7167869	23.52	118.06593406593413
1715874345.748754	23.52	118.06593406593413
1715874345.7807412	23.52	118.06593406593413
1715874345.812789	20.16	118.06593406593413
1715874345.844747	20.16	118.06593406593413
1715874345.876802	23.52	118.06593406593413
1715874345.908766	20.16	118.06593406593413
1715874345.940806	23.52	118.06593406593413
1715874345.972747	20.16	118.06593406593413
1715874346.0047302	23.52	118.15384615384619
1715874346.0367308	23.52	118.06593406593413
1715874346.069835	23.52	118.06593406593413
1715874346.1007848	20.16	118.06593406593413
1715874346.13277	20.16	118.06593406593413
1715874346.1647518	23.52	118.06593406593413
1715874346.196741	20.16	118.06593406593413
1715874346.2287738	23.52	118.06593406593413
1715874346.260703	20.16	118.06593406593413
1715874346.292726	20.16	118.06593406593413
1715874346.3247428	20.16	118.06593406593413
1715874346.35676	20.16	118.06593406593413
1715874346.388714	23.52	118.06593406593413
1715874346.420608	23.52	118.06593406593413
1715874346.452818	23.52	118.06593406593413
1715874346.4851358	23.52	118.06593406593413
1715874346.516842	23.52	118.06593406593413
1715874346.548723	20.16	118.06593406593413
1715874346.58065	20.16	118.06593406593413
1715874346.612725	20.16	118.06593406593413
1715874346.644754	23.52	118.06593406593413
1715874346.676697	23.52	118.06593406593413
1715874346.7088032	23.52	118.06593406593413
1715874346.740587	20.16	118.06593406593413
1715874346.772693	23.52	118.06593406593413
1715874346.804817	20.16	118.06593406593413
1715874346.8370938	23.52	118.06593406593413
1715874346.868681	20.16	118.06593406593413
1715874346.900666	23.52	118.06593406593413
1715874346.932648	20.16	118.06593406593413
1715874346.9646149	20.16	118.15384615384619
1715874346.996607	20.16	118.15384615384619
1715874347.028675	20.16	118.06593406593413
1715874347.061009	23.52	118.06593406593413
1715874347.092715	20.16	118.06593406593413
1715874347.124715	20.16	118.06593406593413
1715874347.156578	23.52	118.06593406593413
1715874347.188752	23.52	118.06593406593413
1715874347.2207181	20.16	118.06593406593413
1715874347.2526562	23.52	118.06593406593413
1715874347.284684	20.16	118.06593406593413
1715874347.316848	20.16	118.06593406593413
1715874347.348756	20.16	118.06593406593413
1715874347.380608	23.52	118.06593406593413
1715874347.412632	20.16	118.06593406593413
1715874347.4447029	23.52	118.06593406593413
1715874347.4765928	20.16	118.15384615384619
1715874347.508759	20.16	118.06593406593413
1715874347.541163	23.52	118.06593406593413
1715874347.572646	20.16	118.06593406593413
1715874347.604588	23.52	118.06593406593413
1715874347.6366951	23.52	118.06593406593413
1715874347.6687539	20.16	118.06593406593413
1715874347.7006369	23.52	118.06593406593413
1715874347.7326322	23.52	118.06593406593413
