time	force
1715875393.157716	0.02
1715875393.158085	0.0
1715875393.182716	0.0
1715875393.233731	0.02
1715875393.2847738	0.02
1715875393.3358479	0.0
1715875393.386694	0.05
1715875393.4377542	0.02
1715875393.4887412	0.0
1715875393.53994	0.02
1715875393.5913532	0.02
1715875393.642113	0.02
1715875393.6927302	0.02
1715875393.744012	0.02
1715875393.794848	0.0
1715875393.845813	0.02
1715875393.897113	0.02
1715875393.94803	0.05
1715875393.9991748	0.02
1715875394.050336	0.0
1715875394.10109	0.02
1715875394.151927	0.02
1715875394.2032151	0.02
1715875394.256499	0.0
1715875394.304953	0.05
1715875394.3561118	0.02
1715875394.4085279	0.02
1715875394.459949	0.02
1715875394.509611	0.05
1715875394.5596921	0.02
1715875394.610625	0.02
1715875394.66164	0.0
1715875394.7126641	0.02
1715875394.763633	0.02
1715875394.81466	0.02
1715875394.8657	0.02
1715875394.916626	0.02
1715875394.967683	0.0
1715875395.018664	0.02
1715875395.069636	0.0
1715875395.120662	0.02
1715875395.171699	0.0
1715875395.222663	0.02
1715875395.273642	0.02
1715875395.324664	0.02
1715875395.37573	0.02
1715875395.4266691	0.05
1715875395.477696	0.0
1715875395.5286689	0.0
1715875395.579801	0.02
1715875395.6307	0.02
1715875395.6816971	0.02
1715875395.7325902	0.0
1715875395.7837682	0.02
1715875395.834696	0.0
1715875395.8856761	0.02
1715875395.936744	0.0
1715875395.987704	0.0
1715875396.038644	0.02
1715875396.090465	0.05
1715875396.1411588	0.02
1715875396.191679	0.0
1715875396.242718	0.0
1715875396.293649	0.02
1715875396.34463	0.02
1715875396.395654	0.0
1715875396.446679	0.02
1715875396.497673	0.0
1715875396.548636	0.02
1715875396.59966	0.02
1715875396.650634	0.0
1715875396.701634	0.02
1715875396.752722	0.0
1715875396.803644	0.02
1715875396.854659	0.12
1715875396.90561	0.29
1715875396.956627	0.5
1715875397.007658	0.77
1715875397.058769	0.98
1715875397.109612	1.2
1715875397.160583	1.41
1715875397.211684	1.6
1715875397.262771	1.8
