time	present_current	position_shift
1715875551.886719	20.16	-0.0879120879120876
1715875551.918773	20.16	0.0
1715875551.95077	23.52	0.0
1715875551.9827788	20.16	0.0
1715875552.0147781	20.16	-0.0879120879120876
1715875552.046794	20.16	-0.0879120879120876
1715875552.078837	23.52	-0.0879120879120876
1715875552.1107242	23.52	0.0
1715875552.142755	20.16	-0.0879120879120876
1715875552.174923	23.52	-0.0879120879120876
1715875552.207154	23.52	0.0
1715875552.23891	23.52	-0.0879120879120876
1715875552.270837	20.16	-0.0879120879120876
1715875552.3027682	20.16	-0.0879120879120876
1715875552.334662	20.16	0.0
1715875552.366719	20.16	-0.0879120879120876
1715875552.398865	20.16	0.0
1715875552.4312599	23.52	0.0
1715875552.462757	23.52	-0.0879120879120876
1715875552.494729	20.16	-0.0879120879120876
1715875552.5266938	23.52	0.0
1715875552.558722	20.16	-0.0879120879120876
1715875552.59076	23.52	-0.0879120879120876
1715875552.622748	23.52	-0.0879120879120876
1715875552.654835	20.16	0.0
1715875552.68677	20.16	0.0
1715875552.71871	23.52	0.0
1715875552.750717	23.52	-0.0879120879120876
1715875552.782673	20.16	-0.0879120879120876
1715875552.814806	23.52	-0.0879120879120876
1715875552.846745	23.52	-0.0879120879120876
1715875552.878803	16.8	-0.0879120879120876
1715875552.9107468	23.52	-0.0879120879120876
1715875552.9426801	20.16	-0.0879120879120876
1715875552.9746518	23.52	0.0
1715875553.006679	20.16	0.0
1715875553.0388649	23.52	-0.0879120879120876
1715875553.0707781	23.52	0.0
1715875553.102816	20.16	-0.0879120879120876
1715875553.134708	20.16	-0.0879120879120876
1715875553.1668139	20.16	-0.0879120879120876
1715875553.198682	23.52	-0.0879120879120876
1715875553.230717	20.16	0.0
1715875553.262837	20.16	0.0
1715875553.294821	20.16	-0.0879120879120876
1715875553.326719	20.16	-0.0879120879120876
1715875553.358704	20.16	-0.0879120879120876
1715875553.390739	20.16	-0.0879120879120876
1715875553.4229681	20.16	0.0
1715875553.454684	20.16	-0.0879120879120876
1715875553.486669	23.52	0.0
1715875553.518674	23.52	-0.0879120879120876
1715875553.5506802	23.52	0.0
1715875553.5826461	20.16	-0.0879120879120876
1715875553.614697	23.52	-0.0879120879120876
1715875553.646695	20.16	-0.0879120879120876
1715875553.67858	20.16	-0.0879120879120876
1715875553.710755	23.52	0.0
1715875553.742681	23.52	0.0
1715875553.774673	20.16	-0.0879120879120876
1715875553.806709	20.16	0.0
1715875553.838845	23.52	0.0
1715875553.870786	20.16	0.0
1715875553.902665	20.16	-0.0879120879120876
1715875553.9346921	23.52	0.0
1715875553.966657	20.16	-0.0879120879120876
1715875553.998809	23.52	0.0
1715875554.0306718	20.16	0.1758241758241752
1715875554.06268	26.88	0.2637362637362628
1715875554.094732	20.16	0.879120879120876
1715875554.126713	20.16	2.1098901098901166
1715875554.1586492	20.16	3.6923076923076934
1715875554.190665	26.88	5.186813186813183
1715875554.222689	20.16	7.296703296703313
1715875554.254863	10.08	9.406593406593416
1715875554.286724	26.88	11.340659340659343
1715875554.318742	16.8	13.362637362637386
1715875554.350731	20.16	15.472527472527489
1715875554.382692	26.88	17.406593406593416
1715875554.414551	26.88	19.340659340659343
1715875554.446681	13.44	21.186813186813183
1715875554.478701	26.88	22.945054945054935
1715875554.510599	23.52	24.615384615384627
1715875554.542683	20.16	26.197802197802204
1715875554.574653	16.8	27.86813186813187
1715875554.606617	16.8	29.362637362637386
1715875554.638603	20.16	30.945054945054963
1715875554.670584	20.16	32.43956043956045
1715875554.702676	16.8	33.846153846153854
1715875554.7346828	23.52	35.252747252747255
1715875554.766728	23.52	36.65934065934066
1715875554.798681	20.16	37.97802197802197
1715875554.830592	20.16	39.38461538461537
1715875554.862559	23.52	40.703296703296715
1715875554.8946078	23.52	42.02197802197803
1715875554.92703	26.88	43.34065934065934
1715875554.958771	20.16	44.747252747252745
1715875554.9905941	20.16	46.06593406593409
1715875555.022571	20.16	47.3846153846154
1715875555.054606	23.52	48.703296703296715
1715875555.086537	23.52	50.02197802197803
1715875555.118573	20.16	51.34065934065934
1715875555.150746	23.52	52.48351648351648
1715875555.182699	20.16	53.802197802197824
1715875555.214612	20.16	55.12087912087911
1715875555.246552	20.16	56.43956043956045
1715875555.278555	16.8	57.67032967032968
1715875555.310536	20.16	58.989010989010964
1715875555.3425732	20.16	60.21978021978025
1715875555.374636	20.16	61.53846153846156
1715875555.406539	23.52	62.76923076923079
1715875555.43852	26.88	64.00000000000001
1715875555.470519	20.16	65.23076923076924
1715875555.502593	26.88	66.46153846153847
1715875555.534635	20.16	67.6923076923077
1715875555.5666938	23.52	68.92307692307692
1715875555.599091	23.52	70.15384615384615
1715875555.630574	23.52	71.3846153846154
1715875555.662661	23.52	72.70329670329672
1715875555.694549	20.16	73.84615384615385
1715875555.726559	23.52	75.07692307692308
1715875555.758612	23.52	76.21978021978022
1715875555.790519	16.8	77.45054945054945
1715875555.8225129	20.16	78.68131868131867
1715875555.854711	20.16	79.73626373626372
1715875555.886544	20.16	80.79120879120877
1715875555.918647	23.52	81.93406593406591
1715875555.950548	23.52	82.90109890109893
1715875555.982504	20.16	83.8681318681319
1715875556.014533	23.52	84.83516483516486
1715875556.046699	23.52	85.80219780219782
1715875556.0785909	20.16	86.76923076923079
1715875556.1105468	23.52	87.73626373626375
1715875556.142546	23.52	88.61538461538463
1715875556.174541	23.52	89.67032967032968
1715875556.206513	20.16	90.63736263736264
1715875556.238498	20.16	91.6043956043956
1715875556.270484	20.16	92.65934065934066
1715875556.302485	20.16	93.53846153846153
1715875556.334531	20.16	94.50549450549453
1715875556.3666298	23.52	95.3846153846154
1715875556.398586	20.16	96.26373626373628
1715875556.43054	23.52	97.14285714285715
1715875556.4625301	20.16	98.02197802197803
1715875556.494517	20.16	98.98901098901099
1715875556.5264919	20.16	99.86813186813187
1715875556.558589	23.52	100.83516483516483
1715875556.5905762	23.52	101.71428571428571
1715875556.6227598	23.52	102.68131868131867
1715875556.6545122	23.52	103.56043956043955
1715875556.6863942	23.52	104.43956043956042
1715875556.71839	20.16	105.31868131868136
1715875556.750805	23.52	106.10989010989015
1715875556.782784	23.52	106.98901098901102
1715875556.814484	23.52	107.8681318681319
1715875556.8465018	20.16	108.5714285714286
1715875556.878398	23.52	109.45054945054947
1715875556.910462	23.52	110.32967032967035
1715875556.942445	20.16	111.20879120879123
1715875556.974539	23.52	112.0879120879121
1715875557.0065951	20.16	112.87912087912089
1715875557.0384681	20.16	113.75824175824177
1715875557.070401	20.16	114.54945054945055
1715875557.1024268	23.52	115.34065934065934
1715875557.134426	20.16	116.21978021978022
1715875557.166463	20.16	117.01098901098904
1715875557.198501	20.16	117.80219780219782
1715875557.230457	23.52	118.59340659340661
1715875557.26241	20.16	119.47252747252749
1715875557.29457	23.52	120.26373626373628
1715875557.3264158	23.52	121.05494505494507
1715875557.358581	23.52	121.84615384615385
1715875557.3904698	20.16	122.63736263736264
1715875557.422467	20.16	123.42857142857143
1715875557.4545121	23.52	124.13186813186813
1715875557.4864588	23.52	124.92307692307692
1715875557.5184	23.52	125.71428571428571
1715875557.550381	23.52	126.5054945054945
1715875557.5824451	20.16	127.12087912087911
1715875557.614409	23.52	127.82417582417584
1715875557.64643	23.52	128.43956043956047
1715875557.678359	23.52	128.87912087912088
1715875557.710479	26.88	129.31868131868134
1715875557.742455	23.52	129.4065934065934
1715875557.7743769	20.16	129.4065934065934
1715875557.806626	20.16	129.4065934065934
1715875557.838366	23.52	129.4065934065934
1715875557.8703942	20.16	129.4065934065934
1715875557.902624	20.16	129.4065934065934
1715875557.9343739	23.52	129.4065934065934
1715875557.96647	20.16	129.4065934065934
1715875557.998432	23.52	129.31868131868134
1715875558.030452	20.16	129.4065934065934
1715875558.0624151	23.52	129.4065934065934
1715875558.0944371	23.52	129.4065934065934
1715875558.1264021	23.52	129.4065934065934
1715875558.1584	23.52	129.4065934065934
1715875558.190309	23.52	129.4065934065934
1715875558.222356	20.16	129.4065934065934
1715875558.254327	20.16	129.4065934065934
