time	present_current	position_shift
1715875509.590844	20.16	0.0
1715875509.6226518	23.52	0.0
1715875509.654761	20.16	0.0
1715875509.687582	20.16	0.0
1715875509.719382	23.52	0.0
1715875509.750753	23.52	0.0
1715875509.783339	20.16	0.0
1715875509.814959	20.16	0.0879120879120876
1715875509.847268	20.16	0.0
1715875509.879593	20.16	0.0
1715875509.912236	16.8	0.0
1715875509.9427772	20.16	0.0
1715875509.975012	20.16	0.0
1715875510.006635	20.16	0.0
1715875510.038791	20.16	0.0
1715875510.070957	23.52	0.0
1715875510.102713	20.16	0.0
1715875510.1356878	23.52	0.0
1715875510.1679611	23.52	0.0
1715875510.198752	23.52	0.0
1715875510.2305129	23.52	0.0
1715875510.2625868	23.52	0.0
1715875510.2946439	20.16	0.0
1715875510.326668	20.16	0.0
1715875510.358767	20.16	0.0
1715875510.391443	23.52	0.0
1715875510.422715	20.16	0.0
1715875510.454568	23.52	0.0
1715875510.486613	20.16	0.0
1715875510.5198772	23.52	0.0
1715875510.550754	20.16	0.0
1715875510.58267	20.16	0.0
1715875510.614623	20.16	0.0
1715875510.6468039	23.52	0.0
1715875510.679662	20.16	0.0
1715875510.71059	23.52	0.0
1715875510.7425358	20.16	0.0
1715875510.774718	23.52	0.0
1715875510.806611	23.52	0.0
1715875510.8386052	20.16	0.0
1715875510.871118	23.52	0.0
1715875510.902911	20.16	0.0
1715875510.93472	20.16	0.0
1715875510.966591	20.16	0.0
1715875511.0002098	20.16	0.0
1715875511.0307682	20.16	0.0
1715875511.062498	20.16	0.0879120879120876
1715875511.0950851	20.16	0.0
1715875511.12674	16.8	0.0
1715875511.158657	20.16	0.0
1715875511.190835	20.16	0.0
1715875511.2238898	23.52	0.0
1715875511.254494	20.16	0.0879120879120876
1715875511.2866292	23.52	0.0
1715875511.318621	20.16	0.0
1715875511.3507142	20.16	0.0
1715875511.382577	23.52	0.0
1715875511.415335	23.52	0.0
1715875511.446728	20.16	0.0
1715875511.478613	20.16	0.0
1715875511.510627	20.16	0.0
1715875511.542817	23.52	0.0
1715875511.575742	20.16	0.0
1715875511.6076858	20.16	0.0
1715875511.6386209	23.52	0.0
1715875511.670571	23.52	0.0
1715875511.7025979	23.52	0.0
1715875511.7346292	23.52	0.0
1715875511.768081	23.52	0.0879120879120876
1715875511.800113	23.52	0.0879120879120876
1715875511.830678	16.8	0.0879120879120876
1715875511.862564	16.8	0.3516483516483504
1715875511.894869	20.16	1.4065934065934016
1715875511.9265652	20.16	2.8131868131868316
1715875511.958549	16.8	4.307692307692321
1715875511.992178	30.24	6.065934065934073
1715875512.022605	20.16	8.000000000000028
1715875512.054582	10.08	9.846153846153868
1715875512.086566	30.24	11.780219780219795
1715875512.118526	20.16	13.626373626373635
1715875512.15059	23.52	15.384615384615387
1715875512.1840372	23.52	17.14285714285714
1715875512.216248	16.8	18.81318681318683
1715875512.246586	20.16	20.39560439560441
1715875512.278661	23.52	22.065934065934073
1715875512.310716	16.8	23.560439560439562
1715875512.342604	20.16	25.142857142857167
1715875512.374485	23.52	26.54945054945057
1715875512.4074838	20.16	27.868131868131883
1715875512.43852	20.16	29.274725274725284
1715875512.470746	23.52	30.681318681318686
1715875512.502476	20.16	32.0
1715875512.534575	20.16	33.4065934065934
1715875512.566659	26.88	34.8131868131868
1715875512.5985348	23.52	36.131868131868146
1715875512.630647	20.16	37.45054945054946
1715875512.662654	20.16	38.769230769230774
1715875512.694568	16.8	40.08791208791209
1715875512.726466	23.52	41.49450549450552
1715875512.758419	23.52	42.725274725274744
1715875512.7905412	16.8	44.04395604395606
1715875512.822655	16.8	45.45054945054946
1715875512.854582	20.16	46.681318681318686
1715875512.886562	20.16	47.91208791208791
1715875512.918468	23.52	49.230769230769255
1715875512.950413	23.52	50.54945054945054
1715875512.982543	20.16	51.78021978021977
1715875513.014508	20.16	53.09890109890111
1715875513.046579	23.52	54.329670329670336
1715875513.0798929	23.52	55.56043956043959
1715875513.1109078	20.16	56.879120879120904
1715875513.143401	20.16	58.10989010989013
1715875513.1744409	23.52	59.34065934065936
1715875513.2067862	23.52	60.571428571428584
1715875513.238723	23.52	61.80219780219781
1715875513.2717571	20.16	63.032967032967036
1715875513.3037078	20.16	64.26373626373626
1715875513.334659	23.52	65.49450549450549
1715875513.366445	23.52	66.72527472527474
1715875513.398365	20.16	67.95604395604397
1715875513.4316642	20.16	69.1868131868132
1715875513.463454	20.16	70.41758241758242
1715875513.496217	20.16	71.64835164835165
1715875513.526485	23.52	72.87912087912088
1715875513.558395	20.16	74.1098901098901
1715875513.590317	23.52	75.16483516483515
1715875513.6225102	20.16	76.39560439560438
1715875513.65445	20.16	77.6263736263736
1715875513.686483	20.16	78.85714285714289
1715875513.719015	23.52	79.91208791208794
1715875513.750466	23.52	81.05494505494508
1715875513.782368	23.52	82.19780219780222
1715875513.8143291	23.52	83.25274725274727
1715875513.8464808	23.52	84.21978021978023
1715875513.879473	23.52	85.1868131868132
1715875513.911689	23.52	86.24175824175825
1715875513.9425101	23.52	87.20879120879121
1715875513.974411	20.16	88.17582417582418
1715875514.006261	20.16	89.14285714285717
1715875514.0383701	16.8	90.10989010989013
1715875514.0717099	20.16	91.0769230769231
1715875514.1036868	20.16	91.86813186813188
1715875514.134441	23.52	92.83516483516485
1715875514.166304	20.16	93.71428571428572
1715875514.198987	23.52	94.68131868131869
1715875514.2310941	23.52	95.64835164835165
1715875514.263238	20.16	96.61538461538461
1715875514.295854	23.52	97.58241758241758
1715875514.326377	23.52	98.54945054945054
1715875514.358285	20.16	99.34065934065933
1715875514.3905869	23.52	100.30769230769235
1715875514.422323	23.52	101.18681318681323
1715875514.454443	20.16	102.0659340659341
1715875514.48632	23.52	102.94505494505498
1715875514.5184808	23.52	103.73626373626377
1715875514.5506098	23.52	104.61538461538464
1715875514.582303	23.52	105.49450549450552
1715875514.614302	23.52	106.3736263736264
1715875514.646417	23.52	107.16483516483518
1715875514.678397	23.52	108.04395604395606
1715875514.710357	20.16	108.92307692307693
1715875514.742454	20.16	109.80219780219781
1715875514.774283	23.52	110.5934065934066
1715875514.806411	20.16	111.38461538461539
1715875514.838281	20.16	112.26373626373629
1715875514.870431	23.52	113.05494505494508
1715875514.903252	20.16	113.93406593406596
1715875514.9343739	20.16	114.81318681318683
1715875514.966296	20.16	115.60439560439562
1715875514.998295	20.16	116.4835164835165
1715875515.030213	20.16	117.27472527472528
1715875515.062321	20.16	118.06593406593407
1715875515.094408	20.16	118.76923076923077
1715875515.126368	20.16	119.56043956043956
1715875515.158247	26.88	120.35164835164835
1715875515.191424	23.52	121.14285714285714
1715875515.2223098	23.52	121.93406593406593
1715875515.255082	23.52	122.72527472527472
1715875515.28629	20.16	123.42857142857144
1715875515.318312	23.52	124.21978021978023
1715875515.350611	20.16	125.01098901098902
1715875515.382365	20.16	125.71428571428575
1715875515.4142232	20.16	126.41758241758245
1715875515.446285	20.16	126.94505494505498
1715875515.478343	20.16	127.29670329670333
1715875515.510232	23.52	127.29670329670333
1715875515.542237	20.16	127.29670329670333
1715875515.574185	23.52	127.38461538461539
1715875515.606255	16.8	127.38461538461539
1715875515.6381462	23.52	127.38461538461539
1715875515.670229	20.16	127.38461538461539
1715875515.702241	23.52	127.29670329670333
1715875515.734251	16.8	127.38461538461539
1715875515.766221	16.8	127.38461538461539
1715875515.798249	16.8	127.38461538461539
1715875515.8303092	23.52	127.38461538461539
1715875515.8623092	20.16	127.38461538461539
1715875515.894152	20.16	127.38461538461539
1715875515.926199	20.16	127.29670329670333
1715875515.958231	23.52	127.38461538461539
1715875515.9903328	16.8	127.38461538461539
1715875516.0222971	23.52	127.38461538461539
1715875516.054199	23.52	127.29670329670333
1715875516.086258	20.16	127.38461538461539
1715875516.118203	26.88	127.38461538461539
1715875516.150239	23.52	127.38461538461539
1715875516.183477	23.52	127.38461538461539
1715875516.2142022	23.52	127.38461538461539
1715875516.2463691	20.16	127.29670329670333
1715875516.278259	20.16	127.38461538461539
1715875516.310219	20.16	127.38461538461539
1715875516.344046	20.16	127.38461538461539
1715875516.3765619	20.16	127.29670329670333
1715875516.408118	16.8	127.29670329670333
1715875516.438545	23.52	127.29670329670333
1715875516.47013	16.8	127.38461538461539
1715875516.502165	20.16	127.29670329670333
1715875516.534241	23.52	127.38461538461539
1715875516.566249	23.52	127.38461538461539
1715875516.598201	20.16	127.29670329670333
1715875516.630099	23.52	127.38461538461539
1715875516.6620858	23.52	127.38461538461539
1715875516.694186	23.52	127.38461538461539
1715875516.726102	23.52	127.38461538461539
1715875516.759357	20.16	127.38461538461539
1715875516.791581	23.52	127.29670329670333
1715875516.822169	23.52	127.38461538461539
1715875516.854135	23.52	127.29670329670333
1715875516.886155	23.52	127.29670329670333
1715875516.9181252	23.52	127.38461538461539
1715875516.9513159	23.52	127.38461538461539
1715875516.983894	20.16	127.38461538461539
1715875517.0142348	20.16	127.29670329670333
1715875517.046087	20.16	127.29670329670333
1715875517.078133	23.52	127.38461538461539
1715875517.1103191	23.52	127.29670329670333
1715875517.142098	20.16	127.38461538461539
1715875517.1741009	20.16	127.38461538461539
1715875517.206202	20.16	127.29670329670333
1715875517.238133	20.16	127.38461538461539
1715875517.27008	20.16	127.38461538461539
1715875517.3021069	23.52	127.38461538461539
1715875517.3341382	20.16	127.38461538461539
1715875517.36607	20.16	127.38461538461539
1715875517.3983119	20.16	127.38461538461539
1715875517.4301991	20.16	127.29670329670333
1715875517.462167	20.16	127.38461538461539
1715875517.4940832	23.52	127.29670329670333
1715875517.526047	23.52	127.38461538461539
1715875517.558166	20.16	127.29670329670333
1715875517.590183	23.52	127.38461538461539
1715875517.622126	20.16	127.38461538461539
1715875517.654198	23.52	127.29670329670333
1715875517.686049	26.88	127.38461538461539
1715875517.718091	23.52	127.29670329670333
