time	force
1715876397.255914	0.02
1715876397.306848	0.02
1715876397.358016	0.02
1715876397.408917	0.05
1715876397.460074	0.02
1715876397.511181	0.02
1715876397.562078	0.02
1715876397.61313	0.02
1715876397.664649	0.02
1715876397.716842	0.05
1715876397.7659662	0.07
1715876397.81698	0.02
1715876397.868166	0.02
1715876397.9192052	0.02
1715876397.970304	0.02
1715876398.021527	0.05
1715876398.072684	0.05
1715876398.123393	0.0
1715876398.173953	0.05
1715876398.225337	0.0
1715876398.276222	0.05
1715876398.3278	0.05
1715876398.384307	0.05
1715876398.431967	0.02
1715876398.479862	0.02
1715876398.530883	0.05
1715876398.581873	0.02
1715876398.632823	0.02
1715876398.683836	0.05
1715876398.7348979	0.02
1715876398.785853	0.0
1715876398.836868	0.02
1715876398.888753	0.02
1715876398.938897	0.05
1715876398.989898	0.02
1715876399.040887	0.0
1715876399.091838	0.02
1715876399.142833	0.02
1715876399.193877	0.02
1715876399.244838	0.02
1715876399.295872	0.0
1715876399.3468869	0.02
1715876399.3979342	0.02
1715876399.448881	0.02
1715876399.4998322	0.05
1715876399.550878	0.0
1715876399.601866	0.05
1715876399.652891	0.05
1715876399.703809	0.02
1715876399.754866	0.05
1715876399.805913	0.02
1715876399.85692	0.02
1715876399.907925	0.02
1715876399.958855	0.02
1715876400.009845	0.02
1715876400.06085	0.02
1715876400.1118531	0.02
1715876400.162855	0.05
1715876400.213857	0.02
1715876400.264859	0.02
1715876400.315815	0.0
1715876400.366852	0.02
1715876400.4179578	0.02
1715876400.468831	0.02
1715876400.519818	0.05
1715876400.5708082	0.12
1715876400.6218948	0.26
1715876400.6727822	0.43
1715876400.723874	0.62
1715876400.774795	0.74
1715876400.82585	0.93
1715876400.876846	1.08
1715876400.927888	1.22
1715876400.978859	1.37
1715876401.0299	1.51
1715876401.0808342	1.68
1715876401.131849	1.82
1715876401.182861	1.94
1715876401.233876	2.08
1715876401.284873	2.23
1715876401.335832	2.37
1715876401.386795	2.44
1715876401.437848	2.56
1715876401.48887	2.68
1715876401.539859	2.78
1715876401.590797	2.9
1715876401.641839	3.02
1715876401.693737	3.11
