time	force
1715876466.6141708	0.02
1715876466.6654248	0.02
1715876466.716203	0.02
1715876466.767359	0.02
1715876466.8186188	0.02
1715876466.86959	0.02
1715876466.9210508	0.02
1715876466.971808	0.02
1715876467.0228028	0.02
1715876467.075377	0.02
1715876467.124186	0.02
1715876467.175414	0.0
1715876467.226161	0.02
1715876467.2772338	0.0
1715876467.328244	0.02
1715876467.379362	0.02
1715876467.4304671	0.0
1715876467.481557	0.02
1715876467.5337422	0.0
1715876467.583634	0.02
1715876467.634155	0.02
1715876467.6867032	0.05
1715876467.736448	0.02
1715876467.787807	0.05
1715876467.841943	0.05
1715876467.895018	0.02
1715876467.940075	0.02
1715876467.991124	0.0
1715876468.0420532	0.05
1715876468.093101	0.0
1715876468.144114	0.02
1715876468.1951401	0.05
1715876468.246189	0.14
1715876468.297898	0.29
1715876468.348052	0.43
1715876468.39952	0.55
1715876468.450135	0.67
1715876468.501649	0.81
1715876468.553	0.96
1715876468.603102	1.13
1715876468.654471	1.25
1715876468.705141	1.39
1715876468.756085	1.51
1715876468.807984	1.63
1715876468.858057	1.77
1715876468.9091148	1.87
1715876468.960116	2.01
1715876469.011127	2.13
1715876469.062109	2.25
1715876469.113131	2.37
1715876469.164052	2.49
1715876469.215184	2.59
1715876469.2661152	2.73
1715876469.317106	2.8
1715876469.368083	2.95
1715876469.419084	3.04
1715876469.4701388	3.14
1715876469.521099	3.23
1715876469.572107	3.35
1715876469.623123	3.47
1715876469.674082	3.57
1715876469.725097	3.66
1715876469.7760901	3.76
1715876469.82725	3.86
1715876469.8780942	3.95
1715876469.929078	4.05
1715876469.9801002	4.1
1715876470.0310981	4.17
1715876470.082093	4.26
1715876470.133095	4.33
1715876470.184082	4.38
1715876470.235042	4.48
1715876470.286082	4.55
1715876470.337101	4.65
1715876470.3880699	4.69
1715876470.4390788	4.77
1715876470.49003	4.86
1715876470.5410402	4.91
1715876470.592045	4.98
1715876470.643075	5.05
1715876470.694113	5.13
1715876470.7450821	5.2
1715876470.7960472	5.22
1715876470.847018	5.29
1715876470.8980632	5.34
1715876470.949075	5.41
1715876471.0000892	5.48
1715876471.051025	5.53
1715876471.1020732	5.6
1715876471.153066	5.65
1715876471.204075	5.7
1715876471.25508	5.75
1715876471.30607	5.8
1715876471.3570828	5.82
1715876471.408064	5.89
1715876471.4590561	5.92
1715876471.510036	5.92
1715876471.561072	5.94
1715876471.612045	5.92
1715876471.664001	5.92
1715876471.7141068	5.92
1715876471.76512	5.92
1715876471.816106	5.94
1715876471.867023	5.92
1715876471.918061	5.92
1715876471.96909	5.89
1715876472.020097	5.89
1715876472.07107	5.89
1715876472.122025	5.89
1715876472.173054	5.89
1715876472.2240472	5.89
1715876472.275035	5.89
1715876472.326114	5.89
1715876472.377106	5.89
1715876472.4281201	5.89
1715876472.479095	5.87
1715876472.5300639	5.84
1715876472.581077	5.87
1715876472.6320682	5.87
1715876472.683006	5.87
1715876472.7340329	5.84
1715876472.785096	5.84
1715876472.836066	5.84
1715876472.887059	5.87
1715876472.938001	5.87
1715876472.9890492	5.84
1715876473.040061	5.84
1715876473.091033	5.87
1715876473.14207	5.84
1715876473.193132	5.84
1715876473.244051	5.84
1715876473.295094	5.82
1715876473.34604	5.84
1715876473.3970602	5.84
1715876473.4480882	5.84
1715876473.49904	5.82
1715876473.55004	5.84
1715876473.601067	5.84
1715876473.652071	5.82
1715876473.703053	5.84
1715876473.753999	5.84
1715876473.805033	5.82
1715876473.856072	5.84
1715876473.907081	5.82
1715876473.95805	5.82
1715876474.009046	5.82
1715876474.060003	5.82
1715876474.1110442	5.8
1715876474.162084	5.82
1715876474.213068	5.82
1715876474.264277	5.82
1715876474.315031	5.8
1715876474.3660312	5.82
1715876474.4171178	5.8
1715876474.468927	5.82
1715876474.519068	5.82
1715876474.56998	5.8
1715876474.6211011	5.82
1715876474.672019	5.82
1715876474.72308	5.82
1715876474.773994	5.8
1715876474.825084	5.8
1715876474.87612	5.8
1715876474.927076	5.8
1715876474.978038	5.77
1715876475.029024	5.8
1715876475.080099	5.8
1715876475.131018	5.8
1715876475.182018	5.77
1715876475.233082	5.77
1715876475.284039	5.8
1715876475.335117	5.8
1715876475.385974	5.8
1715876475.437047	5.77
1715876475.488064	5.8
1715876475.539072	5.75
1715876475.589996	5.8
1715876475.641054	5.77
1715876475.692062	5.77
1715876475.743052	5.77
1715876475.7940218	5.77
1715876475.8450098	5.77
1715876475.896085	5.77
1715876475.946997	5.8
1715876475.997975	5.77
1715876476.04901	5.77
1715876476.1000278	5.77
1715876476.151037	5.75
1715876476.201971	5.77
1715876476.252964	5.77
1715876476.304088	5.75
1715876476.3550231	5.77
1715876476.4060328	5.77
1715876476.457001	5.77
1715876476.507972	5.77
1715876476.559021	5.77
1715876476.6100101	5.77
1715876476.660989	5.77
1715876476.712065	5.75
1715876476.762976	5.75
1715876476.814024	5.75
1715876476.865104	5.77
1715876476.9160352	5.77
1715876476.96704	5.77
1715876477.018035	5.75
1715876477.068953	5.75
1715876477.120008	5.77
1715876477.171	5.75
1715876477.221996	5.77
1715876477.273835	5.75
1715876477.3239942	5.75
1715876477.374977	5.77
1715876477.4260108	5.75
1715876477.4769988	5.75
1715876477.5280168	5.75
1715876477.5789728	5.75
1715876477.629996	5.75
1715876477.680994	5.75
1715876477.732003	5.72
1715876477.783007	5.75
1715876477.834026	5.77
1715876477.884952	5.75
1715876477.935953	5.75
1715876477.987028	5.75
1715876478.038007	5.75
1715876478.089045	5.72
1715876478.140043	5.75
1715876478.191039	5.72
1715876478.242073	5.75
1715876478.293172	5.75
1715876478.3445451	5.75
1715876478.3951628	5.75
1715876478.446261	5.75
1715876478.497207	5.75
1715876478.548044	5.75
1715876478.599064	5.75
1715876478.650018	5.72
1715876478.7010791	5.75
1715876478.7521238	5.75
1715876478.803456	5.72
1715876478.855702	5.75
1715876478.9052448	5.75
1715876478.956016	5.75
1715876479.0072162	5.72
1715876479.058135	5.75
1715876479.1091242	5.75
1715876479.16013	5.75
1715876479.211147	5.75
1715876479.2621272	5.72
1715876479.31297	5.75
1715876479.363976	5.75
1715876479.415297	5.75
1715876479.4661472	5.72
1715876479.51706	5.75
1715876479.568171	5.72
1715876479.619174	5.75
1715876479.670302	5.72
1715876479.721181	5.75
1715876479.772332	5.72
1715876479.8234189	5.72
1715876479.874654	5.75
1715876479.9250271	5.75
