time	force
1715876287.893225	0.02
1715876287.8937442	0.02
1715876287.938964	0.05
1715876287.9893482	0.0
1715876288.040138	0.02
1715876288.091244	0.02
1715876288.142369	0.02
1715876288.193404	0.02
1715876288.244402	0.05
1715876288.295336	0.02
1715876288.346462	0.02
1715876288.397235	0.02
1715876288.448193	0.02
1715876288.499346	0.05
1715876288.55054	0.02
1715876288.6014478	0.02
1715876288.652695	0.02
1715876288.703189	0.02
1715876288.754053	0.0
1715876288.8095202	0.0
1715876288.8568478	0.02
1715876288.907449	0.0
1715876288.958671	0.02
1715876289.009381	0.02
1715876289.060053	0.0
1715876289.111059	0.0
1715876289.16206	0.02
1715876289.213092	0.02
1715876289.264147	0.0
1715876289.315011	0.05
1715876289.366026	0.02
1715876289.417011	0.0
1715876289.468061	0.0
1715876289.519084	0.02
1715876289.570097	0.0
1715876289.6210198	0.02
1715876289.672045	0.02
1715876289.7230809	0.02
1715876289.774091	0.02
1715876289.825072	0.0
1715876289.876085	0.02
1715876289.9270551	0.02
1715876289.978082	0.05
1715876290.029071	0.02
1715876290.0800571	0.0
1715876290.1310751	0.02
1715876290.182077	0.02
1715876290.2330549	0.0
1715876290.2840881	0.05
1715876290.3351061	0.02
1715876290.38609	0.0
1715876290.4370408	0.02
1715876290.48803	0.02
1715876290.539059	0.02
1715876290.590048	0.0
1715876290.641053	0.02
1715876290.692013	0.02
1715876290.7430668	0.02
1715876290.7949781	0.07
1715876290.845119	0.24
1715876290.8960671	0.41
1715876290.9471831	0.55
1715876290.998064	0.74
1715876291.049083	0.93
1715876291.100039	1.08
1715876291.151066	1.2
1715876291.20209	1.34
1715876291.253037	1.48
1715876291.304089	1.65
1715876291.35509	1.77
1715876291.4060512	1.92
1715876291.457085	2.01
1715876291.5080278	2.13
1715876291.5591302	2.25
1715876291.610066	2.37
1715876291.661058	2.49
1715876291.712069	2.59
1715876291.7630131	2.73
1715876291.814042	2.83
1715876291.8793	2.92
1715876291.9215412	3.04
1715876291.9670248	3.14
1715876292.0180879	3.26
1715876292.06905	3.35
1715876292.120018	3.45
1715876292.171048	3.54
1715876292.222095	3.64
1715876292.273035	3.74
1715876292.324047	3.83
1715876292.375037	3.93
1715876292.426021	4.0
1715876292.477035	4.12
1715876292.528084	4.17
1715876292.5790029	4.26
1715876292.630087	4.36
1715876292.681082	4.41
1715876292.73207	4.45
1715876292.783041	4.53
1715876292.834049	4.57
