time	present_current	goal_current	position_shift
1715776928.459795	6.72	3.0	0.0
1715776928.507832	6.72	3.0	0.0
1715776928.555849	6.72	3.0	0.0
1715776928.603712	10.08	3.0	0.0
1715776928.6518002	6.72	3.0	0.0
1715776928.6997561	6.72	3.0	0.0
1715776928.747828	6.72	3.0	0.0
1715776928.7958348	16.8	3.0	0.0
1715776928.843947	6.72	3.0	0.0
1715776928.8917172	13.44	3.0	0.0
1715776928.939769	6.72	3.0	-0.0879120879120876
1715776928.987798	10.08	3.0	0.0
1715776929.035876	6.72	3.0	0.0
1715776929.08376	3.36	3.0	0.0
1715776929.131733	10.08	3.0	0.0
1715776929.179841	13.44	4.0	0.0
1715776929.2278678	16.8	4.0	0.0
1715776929.27586	20.16	4.0	0.0
1715776929.323858	16.8	4.0	0.0
1715776929.371768	6.72	4.0	0.0
1715776929.419772	6.72	4.0	-0.0879120879120876
1715776929.467925	16.8	4.0	0.0
1715776929.515786	13.44	4.0	0.0
1715776929.5637481	10.08	4.0	0.0
1715776929.611728	6.72	4.0	0.0879120879120876
1715776929.659946	10.08	4.0	0.1758241758241752
1715776929.707956	10.08	4.0	0.1758241758241752
1715776929.755716	13.44	4.0	0.2637362637362628
1715776929.803744	16.8	4.0	0.2637362637362628
1715776929.852012	20.16	4.0	0.2637362637362628
1715776929.89995	6.72	4.0	0.3516483516483504
1715776929.9477031	13.44	4.0	0.439560439560438
1715776929.9957619	16.8	4.0	0.439560439560438
1715776930.043794	10.08	4.0	0.439560439560438
1715776930.0918138	10.08	4.0	0.439560439560438
1715776930.139801	3.36	4.0	0.439560439560438
1715776930.187774	13.44	4.0	0.439560439560438
1715776930.235853	10.08	4.0	0.439560439560438
1715776930.283846	10.08	4.0	0.439560439560438
1715776930.3319292	13.44	4.0	0.439560439560438
1715776930.379673	13.44	4.0	0.439560439560438
1715776930.4276118	13.44	4.0	0.439560439560438
1715776930.47581	6.72	4.0	0.439560439560438
1715776930.5239758	10.08	4.0	0.5274725274725256
1715776930.571666	16.8	4.0	0.5274725274725256
1715776930.6196742	13.44	5.0	0.439560439560438
1715776930.6677408	20.16	5.0	0.7032967032967008
1715776930.715738	13.44	5.0	2.2857142857142776
1715776930.7637608	23.52	5.0	4.923076923076934
1715776930.811711	10.08	5.0	7.912087912087912
1715776930.8598871	10.08	5.0	10.813186813186803
1715776930.907804	13.44	5.0	13.714285714285694
1715776930.9558022	16.8	5.0	16.35164835164835
1715776931.003649	16.8	5.0	18.637362637362628
1715776931.051604	20.16	5.0	20.659340659340643
1715776931.0997992	13.44	5.0	22.5934065934066
1715776931.1479151	16.8	5.0	24.527472527472526
1715776931.195631	13.44	5.0	26.373626373626365
1715776931.243689	13.44	5.0	28.219780219780205
1715776931.291997	16.8	5.0	30.153846153846132
1715776931.339823	13.44	5.0	32.08791208791206
1715776931.3877351	16.8	5.0	33.84615384615384
1715776931.43571	13.44	5.0	35.69230769230768
1715776931.4836202	13.44	5.0	37.626373626373606
1715776931.531801	13.44	5.0	39.38461538461539
1715776931.579794	13.44	5.0	40.967032967032964
1715776931.627684	13.44	5.0	42.54945054945054
1715776931.6757262	16.8	5.0	44.04395604395606
1715776931.723825	16.8	5.0	45.626373626373635
1715776931.7718039	13.44	5.0	47.120879120879096
1715776931.819625	16.8	5.0	48.70329670329667
1715776931.8676858	16.8	5.0	50.109890109890074
