time	force
1715777034.3172438	-0.02
1715777034.317869	-0.02
1715777034.3186529	-0.02
1715777034.319191	-0.02
1715777034.319676	0.0
1715777034.3201668	-0.02
1715777034.320622	-0.02
1715777034.32104	-0.02
1715777034.321482	0.0
1715777034.321899	-0.05
1715777034.322162	-0.02
1715777034.322409	0.0
1715777034.3226528	-0.02
1715777034.322898	-0.02
1715777034.323138	0.0
1715777034.3233778	0.02
1715777034.323618	-0.02
1715777034.3238559	-0.02
1715777034.3241029	-0.02
1715777034.324382	0.0
1715777034.324641	-0.02
1715777034.3248901	0.0
1715777034.325134	0.0
1715777034.325462	-0.02
1715777034.3257651	-0.02
1715777034.326048	-0.02
1715777034.3263092	-0.02
1715777034.328869	0.0
1715777034.380045	0.0
1715777034.431168	0.0
1715777034.481963	0.0
1715777034.533727	0.0
1715777034.583949	0.0
1715777034.635173	0.0
1715777034.686116	-0.02
1715777034.7371671	0.0
1715777034.7881799	0.0
1715777034.839305	0.0
1715777034.890502	-0.02
1715777034.941416	-0.02
1715777034.992259	0.0
1715777035.043217	-0.02
1715777035.094424	-0.02
1715777035.145291	-0.02
1715777035.196504	0.0
1715777035.247264	0.0
1715777035.2983308	0.0
1715777035.349292	0.0
1715777035.400484	-0.02
1715777035.451406	0.0
1715777035.502053	-0.02
1715777035.553448	-0.02
1715777035.604411	0.0
1715777035.655257	0.0
1715777035.706514	-0.02
1715777035.757313	0.02
1715777035.808288	-0.02
1715777035.859574	0.02
1715777035.910487	0.0
1715777035.961571	0.0
1715777036.012434	-0.02
1715777036.06289	0.0
1715777036.1145349	0.0
1715777036.168121	0.0
1715777036.217022	0.0
1715777036.2672908	0.02
1715777036.318161	-0.02
1715777036.36888	0.02
1715777036.419859	0.0
1715777036.4708421	-0.02
1715777036.521826	0.0
1715777036.572855	0.0
1715777036.623862	0.02
1715777036.674846	0.0
1715777036.725868	-0.02
1715777036.776851	-0.02
1715777036.827896	-0.02
1715777036.878912	-0.02
1715777036.9298291	-0.02
1715777036.980821	-0.02
1715777037.0318909	0.0
1715777037.082869	-0.02
1715777037.133877	0.0
1715777037.18486	-0.02
1715777037.235955	-0.02
1715777037.286914	0.0
1715777037.338788	0.02
1715777037.388839	-0.02
1715777037.439896	-0.02
1715777037.490857	0.0
1715777037.5418859	0.0
1715777037.5928588	0.02
1715777037.6439328	0.1
1715777037.6949499	0.19
1715777037.745868	0.31
1715777037.796829	0.46
1715777037.847925	0.57
1715777037.898939	0.69
1715777037.949909	0.79
1715777038.000889	0.89
1715777038.051954	1.01
1715777038.102875	1.08
1715777038.153854	1.17
1715777038.204885	1.25
1715777038.2559192	1.34
1715777038.306849	1.41
1715777038.357858	1.48
1715777038.4090261	1.58
1715777038.4599302	1.65
1715777038.5108962	1.72
1715777038.561874	1.8
1715777038.612834	1.89
1715777038.663914	1.96
1715777038.714934	2.04
1715777038.765889	2.11
1715777038.816921	2.2
1715777038.867831	2.28
1715777038.918869	2.35
1715777038.969939	2.44
1715777039.020874	2.51
1715777039.071937	2.59
1715777039.12288	2.66
1715777039.173882	2.73
1715777039.224891	2.83
1715777039.275879	2.9
1715777039.326933	2.97
1715777039.377928	3.07
1715777039.4288352	3.09
1715777039.479842	3.19
1715777039.5309	3.28
1715777039.581901	3.33
1715777039.6328719	3.45
1715777039.6838489	3.5
1715777039.7349288	3.57
1715777039.7859452	3.62
1715777039.836842	3.74
1715777039.8878531	3.81
1715777039.938838	3.88
1715777039.98988	3.98
1715777040.040878	4.02
1715777040.0919712	4.1
1715777040.142882	4.17
1715777040.1939	4.24
1715777040.244871	4.33
1715777040.2958322	4.41
1715777040.3468869	4.48
1715777040.397881	4.55
1715777040.4488451	4.62
1715777040.499899	4.72
1715777040.550905	4.74
1715777040.6019242	4.81
1715777040.65287	4.89
1715777040.703867	4.96
1715777040.754879	4.98
1715777040.8059049	5.08
1715777040.856886	5.15
1715777040.907862	5.2
1715777040.958967	5.24
1715777041.009878	5.29
1715777041.060853	5.32
1715777041.1118379	5.29
1715777041.162959	5.29
1715777041.21392	5.27
1715777041.264915	5.29
1715777041.315837	5.29
1715777041.366902	5.29
1715777041.4178739	5.27
1715777041.468856	5.27
1715777041.519934	5.29
1715777041.570849	5.29
1715777041.621842	5.29
1715777041.6728919	5.27
1715777041.723854	5.24
1715777041.774902	5.29
1715777041.825875	5.24
1715777041.876859	5.27
1715777041.927815	5.27
1715777041.978882	5.24
1715777042.029925	5.24
1715777042.080939	5.27
1715777042.131847	5.24
1715777042.182888	5.24
1715777042.233951	5.24
1715777042.284888	5.24
1715777042.335862	5.24
1715777042.3868291	5.24
1715777042.4378722	5.22
1715777042.4888818	5.24
1715777042.5398421	5.24
1715777042.590973	5.24
1715777042.6418839	5.22
1715777042.692835	5.22
1715777042.74386	5.22
1715777042.794812	5.24
1715777042.845888	5.24
1715777042.896909	5.2
1715777042.947884	5.22
1715777042.9997902	5.22
1715777043.049897	5.24
1715777043.1009018	5.22
1715777043.151934	5.22
1715777043.2028291	5.22
1715777043.2538502	5.22
1715777043.3048608	5.2
1715777043.355936	5.22
1715777043.4068742	5.22
1715777043.457848	5.2
1715777043.508868	5.22
1715777043.559881	5.22
1715777043.610879	5.2
1715777043.661855	5.2
1715777043.712909	5.2
1715777043.763896	5.22
1715777043.814844	5.2
1715777043.8659022	5.2
1715777043.916905	5.2
1715777043.967885	5.22
1715777044.0188339	5.17
1715777044.069847	5.2
1715777044.1209621	5.2
1715777044.17193	5.2
1715777044.222893	5.2
1715777044.273862	5.2
1715777044.3248808	5.22
1715777044.375902	5.2
1715777044.426844	5.2
1715777044.477886	5.17
1715777044.5288699	5.2
1715777044.579853	5.2
1715777044.630867	5.2
1715777044.681878	5.17
1715777044.732912	5.2
1715777044.7839239	5.17
1715777044.834861	5.2
1715777044.8858612	5.2
1715777044.936933	5.17
1715777044.987885	5.17
1715777045.0389051	5.2
1715777045.089841	5.17
1715777045.140838	5.17
1715777045.1918988	5.2
1715777045.24286	5.2
1715777045.293879	5.2
1715777045.34493	5.2
1715777045.395854	5.17
1715777045.4468858	5.17
1715777045.497877	5.17
1715777045.54883	5.15
1715777045.599908	5.2
1715777045.65087	5.2
1715777045.701837	5.2
1715777045.752854	5.17
1715777045.804815	5.17
1715777045.854917	5.2
1715777045.905876	5.15
1715777045.9568582	5.17
1715777046.0079172	5.17
1715777046.0589042	5.17
1715777046.109846	5.15
1715777046.160905	5.15
1715777046.211829	5.17
1715777046.262878	5.17
1715777046.313854	5.17
1715777046.364843	5.15
1715777046.415922	5.17
1715777046.466829	5.17
1715777046.51783	5.15
1715777046.5690482	5.17
1715777046.619906	5.17
1715777046.670923	5.15
1715777046.721909	5.15
1715777046.7730172	5.17
1715777046.8241038	5.17
1715777046.875136	5.15
1715777046.925917	5.17
1715777046.976892	5.17
1715777047.027988	5.17
1715777047.079024	5.15
1715777047.129961	5.17
