time	present_current	goal_current	position_shift
1715777036.4986482	6.72	3.0	-0.0879120879120876
1715777036.546651	6.72	3.0	-0.0879120879120876
1715777036.59471	6.72	3.0	-0.0879120879120876
1715777036.642571	3.36	3.0	0.0
1715777036.690701	6.72	3.0	-0.0879120879120876
1715777036.738656	20.16	3.0	0.0
1715777036.786934	13.44	3.0	0.0
1715777036.83478	10.08	3.0	0.0
1715777036.882682	16.8	3.0	0.0
1715777036.930628	6.72	3.0	0.0
1715777036.97875	6.72	3.0	0.0
1715777037.0271611	10.08	3.0	0.0
1715777037.0747619	10.08	3.0	0.0
1715777037.1226041	10.08	3.0	0.0879120879120876
1715777037.1706161	6.72	3.0	0.1758241758241752
1715777037.218834	10.08	4.0	0.1758241758241752
1715777037.266818	10.08	4.0	0.1758241758241752
1715777037.314703	13.44	4.0	0.1758241758241752
1715777037.3626041	3.36	4.0	0.2637362637362628
1715777037.410872	16.8	4.0	0.2637362637362628
1715777037.458812	13.44	4.0	0.2637362637362628
1715777037.506736	20.16	4.0	0.439560439560438
1715777037.5545988	10.08	4.0	1.5824175824175768
1715777037.602654	13.44	4.0	3.9560439560439704
1715777037.650731	13.44	4.0	6.681318681318686
1715777037.698714	6.72	4.0	9.406593406593402
1715777037.746786	6.72	4.0	12.219780219780205
1715777037.794592	13.44	4.0	14.945054945054949
1715777037.842579	13.44	4.0	17.49450549450549
1715777037.890977	10.08	4.0	19.60439560439562
1715777037.938598	10.08	4.0	21.538461538461547
1715777037.986608	13.44	4.0	23.384615384615387
1715777038.03466	13.44	4.0	25.318681318681314
1715777038.0827641	13.44	4.0	27.164835164835154
1715777038.130738	13.44	4.0	28.923076923076906
1715777038.178569	26.88	4.0	30.769230769230774
1715777038.226552	10.08	4.0	32.35164835164835
1715777038.274726	13.44	4.0	33.93406593406593
1715777038.322635	13.44	4.0	35.516483516483504
1715777038.3705652	13.44	4.0	37.09890109890111
1715777038.41864	13.44	4.0	38.5934065934066
1715777038.466849	13.44	4.0	40.175824175824175
1715777038.514704	13.44	4.0	41.58241758241758
1715777038.5625448	13.44	4.0	43.076923076923094
1715777038.610555	13.44	4.0	44.571428571428555
1715777038.658937	16.8	5.0	46.15384615384613
1715777038.7068632	13.44	5.0	47.64835164835165
1715777038.754803	16.8	5.0	49.14285714285711
1715777038.802548	16.8	5.0	50.637362637362656
1715777038.8506088	13.44	5.0	52.21978021978023
1715777038.898756	16.8	5.0	53.71428571428572
1715777038.946708	13.44	5.0	55.2967032967033
1715777038.994501	13.44	5.0	56.7032967032967
1715777039.0425	13.44	5.0	58.19780219780219
1715777039.09076	13.44	5.0	59.69230769230768
1715777039.13872	16.8	5.0	61.1868131868132
1715777039.186503	20.16	5.0	62.681318681318686
1715777039.234493	13.44	5.0	64.17582417582418
1715777039.282748	13.44	5.0	65.58241758241758
1715777039.330533	16.8	5.0	66.98901098901098
1715777039.3786	16.8	5.0	68.39560439560438
1715777039.42655	13.44	5.0	69.7142857142857
1715777039.47452	13.44	5.0	71.20879120879118
1715777039.5225239	13.44	5.0	72.61538461538464
1715777039.570595	16.8	5.0	74.02197802197804
1715777039.618536	13.44	5.0	75.34065934065936
1715777039.666534	13.44	5.0	76.74725274725276
1715777039.714556	13.44	5.0	78.15384615384616
1715777039.7625449	13.44	5.0	79.56043956043956
1715777039.8105931	10.08	5.0	80.96703296703296
1715777039.85854	16.8	5.0	82.37362637362637
1715777039.9065971	16.8	5.0	83.7802197802198
1715777039.954632	16.8	5.0	85.09890109890111
1715777040.002592	16.8	5.0	86.41758241758242
1715777040.0505369	16.8	5.0	87.73626373626374
1715777040.098615	20.16	6.0	89.05494505494505
1715777040.146522	20.16	6.0	90.46153846153845
